Term,Meaning_of_term,Dialect type,Fill_in_Blank_question,correct_answer
الحي يحييك والميت يزيدك غبن,تقال للمقارنة بين شخصين افعال احدهم من الحركة وتنفيذ بالعمل تبعث فيك الحياة، وآخر كسول ولا ينجز شيئاً فيصيبك بالغبن.,General,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: يعكس المثل ""الحي يحييك والميت يزيدك غبن"" أهمية ______ في تحقيق النجاح.
الخيارات:
A) الصبر
B) العمل الجاد
C) التردد
D) الراحة",B
الخلق الدني واللسان البذي ما يفلح ولا يغتني,في ذم الشخص بذيء اللسان والأفعال,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يتحدث القول 'الخلق الدني واللسان البذي ما يفلح ولا يغتني' عن __________ الفشل.
الخيارات:
أ) الطيبة
ب) البذاءة
ج) الكرم
د) الأمانة",ب
الذيب على طاريه,هو مثل شعبي يقال عندما تتحدث عن شخص وهو غائب وفي نفس الوقت يأتي ذلك الشخص الذي كنت تتحدث عنه,General,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: عندما كنا نتحدث عن صديقنا القديم، دخل فجأة إلى المجلس، فقلنا: ""___________"".
الخيارات:
A) اللي ما يعرف الصقر يشويه
B) الذيب على طاريه
C) رجع الزمان الأول
D) الطيور على أشكالها تقع) الذيب على طاريه",B
الطول طول النخله والعقل عقل سخله,هو ان يكون الشحص ذو هيبه و وقار وطويل القامه ولكن عقله يشبه بعقل السخله السخله:هي صغير الضأن والماعز بالتالي ليس الشكل يحكم دوما على جوهر المرء، إنما منطوقه وأفعاله وما يحمله في داخله، فكل إناء بما فيه ينضح. ياتي ضرب المثل أحيانا من باب المزاح، والفكاهة؛ لكي لا نجرح غيرنا,General,"المهمة: املأ الفراغ في الجملة التالية.
السؤال: يُظهر المثل أن __________ لا تعكس دائمًا الذكاء.
الخيارات:
أ) القامة
ب) الشكل
ج) اللون
د) اللهجة",أ
الغربة كربة وهم للركبة,عن قسوة الاغتراب ومصاعبها,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: تعبير 'الغربة كربة وهم لل_____' يوحي بالصعوبات والتحديات.
الخيارات:
أ) الركبة
ب) القلب
ج) الحياة
د) الدين",أ
اللي ما يعرف الصقر يشويه,اللذي لا يعرف قيمة الشي يفسده او تذهب فرصته,Central,"المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.  
السؤال: مثل ""اللي ما يعرف الصقر _____.""  
الخيارات:  
A) يصيده  
B) يزرعه  
C) يشويه  
D) يجمعه",C
اللي نحبه نبلع له الزلط واللي نكرهه نحاسبه على الغلط,"صيغة أخرى ""إللي تحبه تبلع له الزلط وإللي تكرهه تقعد له على الغلط"" الزلط هي الحجارة ويقصد بالمثل أن الناس يتسامحون مع أخطاء أحبابهم حبيبك يمضغ لك الزلط وعدوك يعد لك الغلط",Western,"المهمة: املأ الفراغ بما يناسب في المثل.
السؤال: أكمل المثل: 'اللي نحبه نبلع له الزلط واللي نكرهه _______.'
الخيارات:
أ) نحب
ب) نحاسبه على الغلط
ج) ننسى
د) نتركه",ب
النار ما تحرق الا رجل واطيها,النار لا تحرق الا من يضع رجله عليها,Central,"المهمة: أكمل العبارة بالاختيار الصحيح.
السؤال: العبارة 'النار ما تحرق الا رجل ____' تعني أن الأذى يتوجه لمن يقترب.
الخيارات:
أ) واطيها
ب) قريبة منها
ج) يراها
د) يلعب بها",أ
الناس في الناس والعجوزه في الطلق والنفاس,يطلق هذا المثل على الي جالسه مع الشله وهم في وادي وهي في وادي,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يفيد المثل 'الناس في الناس والعجوزه في الطلق والنفاس' بأن هناك _____ بين الأفراد.
الخيارات:
أ) توافق
ب) تناقض
ج) صداقة
د) فرقة",ب
الي مايطول الرطب يابس عنه يقول,الذي لا يطول الرطب يابس عنه يقول تقال للشخص الذي لديه غيره كما في مثالي,Central,"المهمة: أكمل الجملة التالية:
السؤال: العبارة مشهورة في اللهجة السعودية، تُستخدم لتصف شخص يتجنب الشيء، والعبارة هي: 'الي مايطول الرطب ___ عنه يقول'.
الخيارات:
أ) جاف
ب) نادر
ج) بعيد
د) مستحيل",أ
بدوي طاحلو في تمرة,واحد ما صدق على الله يلاقيلو شي، وما سابو.,Western,"المهمة: أكمل الجملة باستخدام التعبير المناسب.
السؤال: عندما لم أجد ما كنت أبحث عنه، شعرت وكأنني ______.
الخيارات:
أ) بدوي طاحلو في تمرة
ب) نجم في السماء
ج) سمكة في الماء
د) طير في القفص",أ
بعد ما أكل واتكا قال ريحته مستكا,شخص يشكي او لم يرضي عن وجبة اكلها بعد أن أكل جميع ما فيها.,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: أكمل المثل بالكلمة المناسبة 'بعد ما أكل واتكا قال ريحته ___________.' .
الخيارات:
أ) مستكا
ب) طيبه
ج) لذيذة
د) بارده",أ
بو طبيع مايجوز عن طبعه,تعني أن صاحب الطبع من الصعب والمستحيل أن يتخلى عن طبعه المعروف به.,General,"المهمة: أكمل الجملة التالية.
السؤال: مثل 'بو طبيع مايجوز عن ______.' يعني أن من يتعود على شيء يصعب عليه تركه.
الخيارات:
أ) طبيعته
ب) عاداته
ج) أسراره
د) حبّه",أ
بيكحّلها عماها,بمعنى: أراد أن يكحلها فأعماها. تقال عندما يحاول شخص إصلاح أمر فيفسده.,General,"المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية.  
السؤال: ينطبق مثل ""بيكحّلها عماها"" على الشخص الذي _____ في محاولة تحسين شيء.  
الخيارات:  
A) ينجح  
B) يفشل  
C) يتجنب  
D) يسهل  

الجواب الصحيح: B (يفشل)",
تيتي تيتي زي ما رحتي زي ما جيتي,شخص لم يستطع القيام بمهمة كُلف بها او فشل فيها,Western,"المهمة: أكمل الجملة التالية بالعبارة المناسبة.
السؤال: العبارة 'تيتي تيتي زي ما رحتي ___ ما جيتي' تدل على...
الخيارات:
أ) زي
ب) وإلا
ج) أو
د) ولكن",أ
جابلي أعمى يِوَنّسني بَحلَق بِعينو فَجعني,يقال هذا المثل عندما نتحسر مثلاً على خادمة جديدة وهكذا!,Western,"المهمة: أكمل العبارة باستخدام المثل المناسب.
السؤال: إذا كان لديك مشكلة وفقدت الأمل، يمكنك أن تقول: '_____ يِوَنّسني بَحلَق بِعينو فَجعني'.
الخيارات:
أ) جابلي أعمى
ب) أقبل الله
ج) شكراً لله
د) لا تبتأس",أ
جات تكحلها عمتها,تقال عندما يريد الشخص ان يقول او يفعل شيئا ويعدله ، ولكنه يخربه أكثر,Western,"المهمة: أكمل الجملة التالية بعبارة مناسبة: 'جات تكحلها عمتها' تعني أنها أرادت _____ ولكنها أخفق.
السؤال: ماذا تدل الفقرة: 'جات تكحلها عمتها'?
الخيارات:
أ) تحسين
ب) استمرار
ج) أزمة
د) سعادة",أ
جاك يا مهنى ماتمنى,مثل يُقال عندما يأتيك شيء تتمناه وخصوصاً اذا أتاك بسهوله أو مصادفه تتمناها,General,"المهمة: اختر الإجابة الصحيحة لملء الفراغ.  
السؤال: يُقال مثل ""جاك يا مهنى ماتمنى"" عندما ______.  
الخيارات:  
A) تواجه صعوبة في تحقيق أمانيك.  
B) تأتيك أشياء تتمناها بسهولة.  
C) تشعر بالخيبة.  
D) تسعى لتحقيق أهدافك.) تأتيك أشياء تتمناها بسهولة.",B
حبسوه في كيس مع ابليس طلع ابليس منه يستغيث,عن دهاء وخبث وشر بعض الناس,General,"المهمة: اكمل الفراغ بالمصطلح المناسب.
السؤال: المثل 'حبسوه في كيس مع ابليس طلع ابليس منه يستغيث' يعبر عن __________.
الخيارات:
أ) تفاؤل الإنسان
ب) دهاء وخبث البعض
ج) حب الخير
د) النجاح في الأعمال",ب
حرك تبلش,تقال حينما يعبث الشخص بشي وينتج عنه تلف او تغيير سلبي له,Central,"المهمة: أكمل الجملة التالية: عندما _______ في المنزل، فإنه يحدث تغيير سلبي.
السؤال: ما الكلمة المناسبة لإكمال الجملة؟
الخيارات:
أ) أعمل
ب) حركت تبلش
ج) رتب
د) نظفت",ب
حزمة كراث ولا صنيعة نخولي,الرضا بالقليل أفضل من طلب المعروف من غير أهله، ,General,"المهمة: أكمل الفراغ بما يناسب.
السؤال: عبارة 'حزمة كراث ولا صنيعة نخولي' تعني _____ بالقليل أفضل.
الخيارات:
أ) القرار
ب) الطلب
ج) الآخذ
د) الفرح",ب
خطط في ماء واقبص في حيد,مثل شعبي قديم ومعروف لدى أهالي منطقة عسير يقال عندما يشعر الشخص باليأس من جدوى الحديث والنصيحة لشخص ما,Southern,"المهمة: أكمل المثل الشعبي بالكلمة المناسبة.
السؤال: خطط في _____ واقبص في حيد.
الخيارات:
أ) التراب
ب) الورق
ج) الماء
د) الصخر",ج
خليك على قردك لا يجيك أقرد منه,مثل حجازي تعني : اصبر على ما ابتلاك الله به حتى لا يأتيك ما هو أبلى!,Western,"المهمة: أكمل الجملة بالمصطلح الصحيح.
السؤال: مثل 'خليك على قردك لا يجيك أقرد منه' يشير إلى أهمية ________ على ما لديك.
الخيارات:
أ) السعي
ب) الصبر
ج) التغيير
د) التقدم",ب
دقه بدقه و لو زدت زاد السقا,مثل يعني العين بالعين و السن بالسن و له قصة مشهوره,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: المثل 'دقه بدقه و لو زدت زاد _____' يعبّر عن فكرة العدالة.
الخيارات:
أ) السقا
ب) الحصان
ج) النخلة
د) البيت",أ
ذكرنا القط قام ينط,تكلمنا عن حد وجا بنفس اللحظه,Western,"المهمة: أكمل الجملة بما يناسب المعنى.
السؤال: ذكرنا القط ______ ينط.
الخيارات:
أ) ثم
ب) بعدما
ج) بينما
د) لذلك",أ
رضينا بالهم والهم ما رضي بنا,رضينا بالهم والهم ما رضي بنا,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يُعبر المثل 'رضينا بالهم والهم ما رضي بنا' عن أن ___.
الخيارات:
أ) الخير يأتي بعد الصبر
ب) الحياة فيها تحديات كثيرة
ج) السعادة تأتي ببذل الجهد
د) المشاكل ليست نهاية العالم",ب
ريحة ابو علي ولا عدموو,ريحة ابو علي ولا عدمو : الشي القليل خير من عدم وجوده اصلاََ,Western,"المهمة: أكمل الجملة.
السؤال: تعبير 'ريحة ابو علي ولا عدمو' يعني أن ______ أفضل من عدم وجود شيء.
الخيارات:
أ) الكثير
ب) القليل
ج) الخير
د) الشر",ب
ستي رئيتها ما نقص عليا الا جدران بيتها .,هذه العباره تستخدم في التعبير عن كثرة رؤية الاشخاص يومياً مثل الاصحاب . على سبيل المثال . عندما ارى صديقتي يومياً . تقول لي والتي هذا المثل . انه لم ينقص عليكي الا ان تذهبي وتري حائط منزلها,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: في العبارة 'ستي رئيتها ما نقص عليا الا ____ بيتها'، ما الكلمة المناسبة لملء الفراغ؟
الخيارات:
أ) جدران
ب) الأثاث
ج) الألوان
د) الأشخاص",أ
ضربني وبكى سبقني و شكى,ضربني وبكى سبقني و شكى,General,"المهمة: أكمل الجملة بالمثل المناسب: '_____' يعني أن الشخص الذي يؤذي غيره غالباً ما يظهر مشاعر الندم.
السؤال: أكمل الجملة التالية: '_____' يعني أن الشخص الذي يؤذي غيره غالباً ما يظهر مشاعر الندم.
الخيارات:
أ) ضربني وبكى سبقني و شكى
ب) جارنا كالأسد
ج) الطيور على أشكالها تقع
د) عصفور في اليد خير من عشرة على الشجرة",أ
على طمام المرحوم,إذا سألك واحد عن شي وتجيبه أن الأمر كما هو عليه لم يتغير .,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا سألك شخص عن نتيجة مباراة، وقلت له 'يا هلا، كل شيء عال______'.
الخيارات:
أ) طمام
ب) زين
ج) حلو
د) فوضى",أ
عليه من الله ظل,قليل الحيله و الفهم ، وقد يوصف به الاحمق الذي لا يعي ما يعمل او لا يعي نتائج ما يعمل,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: الشخص الذي يصف بأنه 'عليه من الله ظل' هو شخص ______.
الخيارات:
أ) ذكي
ب) قوي
ج) قليل الحيلة
د) متفائل",ج
عمية تحفف مجنونه و تقلها حواجبك سود و مقرونة,شخص غير مؤهل يقود شخص أو أشخاص غير مؤهلين للقيام بالعمل,Central,"المهمة: أكمل العبارة التالية.
السؤال: 'عمية تحفف مجنونه و تقلها حواجبك _____ و مقرونة'.
الخيارات:
أ) بيضاء
ب) سود
ج) حمراء
د) زرقاء",ب
عنز بدو طاحت في مريس,هذا المثل يقال للشخص اذا ادمن بشكل مبالغ فيه على فعل او اكل شي جديد,Central,"المهمة: أكمل العبارة.
السؤال: يُقال المثل 'عنز بدو طاحت في مريس' عند الإشارة إلى _____ بشكل مفرط.
الخيارات:
أ) الفخر
ب) الإدمان
ج) الاستهتار
د) الكرم",ب
تفكر الشغلة .نجارة.يضرب بالقدوم ويمسح بالفارة,ليس الأمر بذ بغاية السهولة,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا رأيت أن العمل في __________ ليس سهلاً، فقد تحتاج لمساعدة.
الخيارات:
أ) النجارة
ب) القيادة
ج) الطبخ
د) التعليم",أ
قال للغلباوي اسكت وأعطيك ريال ، قال خذ خمسة وخليني اتكلم,مثل يقال للشخص كتير الكلام واللي ما يسكت لو ايش ما تسوي فيه ^^,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يعبر المثل عن شخص يتحدث كثيرًا حتى لو قُدم له _______.
الخيارات:
أ) مال
ب) طعام
ج) شراب
د) نصيحة",أ
قرعة الساقي,يطلق على الشي الذي يكلف اكثر من قيمته,Central,"المهمة: املأ الفراغ بما يناسب.
السؤال: عبارة 'قرعة الساقي' تعني ________.
الخيارات:لشيء الذي يكلف أكثر من قيمته",ا
قفا الصديق ولا وجه العدو,اذا احد لقى قفاه لعمل ينجزه يقول لك: العذر والسموحه ملقيك قفاي يكون الرد: قفا الصديق ولا وجه العدو,Central,"المهمة: أكمل العبارة التالية باستخدام التعبير المناسب: 'إن كان الشخص لا يواجه مشكلة، يقول: __________'.
السؤال: ما التعبير الصحيح الذي يكمل الجملة؟
الخيارات:
أ) قفا الصديق ولا وجه العدو
ب) لا تعطي للعدو وجهك
ج) اعتذر دون سبب
د) الصديق هو من يستحق العذر",أ
كبرت يا بس و صرت تخربش,يقال لهؤلاء الناس الذين يعتقدون ان بمعرفتهم الصغيرة ربما يستطيعون مجارة الكبار,Central,"المهمة: أكمل الجملة التالية:
السؤال: 'كبرت يا بس و صرت _____' يعني أنك تعبر عن عدم نضوج رأيك.
الخيارات:
أ) تصرف
ب) تخربش
ج) تتعب
د) تفكر",ب
كل حشفة و لها مقرمش,كل شخص له نصيب من الزواج حتى ولو كان غبيا او كريها او بشعا فيقال هذا المثل دعما لذلك الحشفة هي قطعة نااشفة من الخبر,Western,"المهمة: استكمل الجملة بناءً على المثل.
السؤال: ______ له نصيب في الزواج وفقًا للمثل 'كل حشفة و لها مقرمش'.
الخيارات:
أ) الذكي
ب) الكفء
ج) كل شخص
د) المحبوب",ج
كل واحد يشل شيلتة,يدل ذلك على ان كل واحد مسؤؤول عن افعالة,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عبارة 'كل واحد يشل _______' تستخدم للدلالة على تحمل المسؤولية.
الخيارات:
أ) شيلته
ب) غيره
ج) العائلة
د) المساعدة",أ
لا تتريق الا على صايم مصلي,تقال للتحذير بانه كل شخص تستهزء بيه يوم حتلاقي الشي سار فيك,Western,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: يُستخدم المثل 'لا تتريق الا على صايم مصلي' للتحذير من __________.
الخيارات:
أ) السخرية
ب) الاحترام
ج) الصلاة
د) الطعام",أ
لا تحط عصك في شي ما يخصك,اي بمعنى لا تتدخل في امور لا تعنيك وتصبح في مشاكل انت في غنى عنها,Western,"المهمة: اختر فقط إجابة واحدة بدون أي ملاحظات إضافية.  
السؤال: أكمل الجملة: ""لا تحط عصك في شي ما يخصك، لأنك___ ""  
  الخيارات:  
  A) قد تكون في مأزق.  
  B) ستنجح دائماً.  
  C) يجب عليك المساعدة.  
  D) ستتعلم شيئاً جديداً.",A
لا تسنِّد للبعير، ولا تنحّي للحنش,(عند أهل السراة): الأولى: أي إذا لحقك البعير (الجمل) غاضباً لا تسنّد له مرتفع لأن الجمل سيستطيع اللحاق بك بعكس لو هبطت به منخفض سيتردى على وجهه لو أسرع ورائك. والثانية: ولا تنحي للحنش أي إذا لحق بك ثعبان لا تهبط به منخفض لأنه سينطلق عليك بسرعه هائلة ويدركك، بل أهرب منه صاعداً لأن الصعود يرهقه فلا يستطيع اللحاق بك.,Southern,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: يُشير المثل ""لا تسنِّد للبعير، ولا تنحّي للحنش"" إلى أن الهروب من الجمل يكون إلى ________، والهروب من الثعبان يكون إلى ________.
A) المرتفع - المرتفع
B) المنخفض - المرتفع
C) المرتفع - المنخفض
D) المنخفض - المنخفض) المنخفض - المرتفع",B
لبس له جلد النمره,تهیاوا للهجوم له و اعدوا للحرب له و تعصبوا لذلک,Central,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: العبارة تعني ___ للهجوم والإعداد للحرب.
الخيارات:
أ) الاستعداد
ب) التراجع
ج) الاستهزاء
د) التعطيل",أ
لما فرقوا الذوق كان جالس فوق,تقال على الشخص عديم الذوق ومعناه أنه لم يأخذ نصيبه من الذوق عندما أخذ الكل نصيبهم لأنه كان غائبا,Western,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: 'لما فرقوا الذوق كان جالس _______'.
الخيارات:
أ) تحت
ب) بعيد
ج) فوق
د) هنا",ج
ما تطيح السقيفة إلا على الضعيفة,يعني لا يتحمل المصائب إلا الضعفاء وينجوا منها الأقوياء وأصحاب النفوذ,Central,"المهمة: م العبارة التالية باستخدام الكلمة المناسبة.
السؤال: إن المثل 'ما تطيح السقيفة إلا على _____' يشير إلى أن الضعفاء يتحملون المصائب.
الخيارات:
أ) القوي
ب) الضعيف
ج) الشجاع
د) البعيد",ب
ما دون الحلدز إلا اليدين,هذا المثل يقال إذا بلغ السيل الزبى، وإذا انتهت كل السبل في محاولة تجنبك لهذا الأمر، فإذا لم يكن هناك طريق إلا هذا الطريق ولو كان خطأً أو خطرًا فاسلكه. فما دون الحلدز إلا اليدين.,General,"المهمة: املأ الفراغ بما يناسب: 'إذا لم يكن هناك مفر، عليك بمواجهة __________.'
السؤال: ما الكلمة المطلوبة في الفراغ؟
الخيارات:
أ) المسؤوليات
ب) التحديات
ج) الخسائر
د) الأخطاء",ب
ما في شي ببلاش غير العمى والطراش,المثل واضح ما يحتاجلو شرح . هو بس انو كل شي صاير بفلوس وما في حاجة ببلاش,Western,"المهمة: اكمل الجملة باستخدام الكلمة المناسبة.
السؤال: كل شيء في الحياة يحتاج إلى _______.
الخيارات:
أ) مال
ب) وقت
ج) جهد
د) حب",أ
ما فيها غير صوير وعوير واللي ما فيه خير,عندما تكون كل الخيارات سيئة,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: تستخدم جملة 'ما فيها غير صوير وعوير واللي ما فيه خير' عندما _____ الخيارات سيئة.
الخيارات:
أ) تكون
ب) تبقى
ج) يبدو
د) تجد",أ
ما ورى بيشة عيشة,مثل يقال لمن لا تتنظر منه شي ينفع. اذا كان طلبك او حاجتك عند شخص او شيء لا تتوقع منه ان يجيب لك نتيجة، تقول ما ورى بيشة عيشة.,Southern,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: يُقال المثل ""ما ورى بيشة عيشة"" عند التعامل مع شخص _________.
A) معروف بكرمه وعطائه
B) لا يُتوقع منه خير أو نفع
C) يعيش في بيشة
D) يعمل في الزراعة) لا يُتوقع منه خير أو نفع",B
ما يعرف راصو من ساسو,لا يعرف رأسه من قدميه.,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: المثل 'ما يعرف راصو من ساسو' يعني أن الشخص لا يعرف _____.
الخيارات:
أ) ما يدور حوله
ب) كيف لطهي الطعام
ج) قراءة الكتب
د) كيفية الاصطخاب",أ
ماتلقى الغنج الا عند الحمير العرج,مثال جميل يقال عند رؤية شخص يتدلع و يتغنج و هوا غير أهل لهذا الفعل,Western,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: المثل 'ماتلقى الغنج الا عند _____ العرج' يعني أن الشخص يتدلع دون سبب.
الخيارات:
أ) البقر
ب) الحمير
ج) الأسود
د) الدجاج",ب
ماخص من قديد الا عسفان,ترجمتها بالفصحى ليس اسوأ من ( قديد ) سوى ( عسان ) و(قديد) و(عسفان) هي اسماء قرى في الحجاز شمال مكة المكرمة ب كيلو تقريبا . ويضرب هذا المثل لوصف شيئين كلاهما اسوأ من الاخر . ولا اعلم تحديدا سبب التسمية .,Western,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: المثل 'ما خص من قديد الا _____' يُستخدم لوصف شيئين كلاهما أسوأ من الآخر.
الخيارات:
أ) قديد
ب) عسفان
ج) مكة
د) المدينة",ب
مد رجولك على قد لحافك,اكتفي بما عندك أو لا تتوهم شيئا فوق استطاعتك.,Central,"المهمة: أكمل الجملة التالية.
السؤال: يقولون 'مد رجولك على قد ________' للإشارة إلى الاكتفاء.
الخيارات:
أ) لحافك
ب) حلمك
ج) طموحك
د) عملك",أ
من جرف لدحديرة، يا قلبي لا تحزن,يخرج من مصيبة ليدخل في مصيبة أخرى.,Western,"المهمة: أكمل الجملة باستخدام كلمة صحيحة.
السؤال: المثل يعني أن الشخص _____ من مصيبة ليدخل في مصيبة أخرى.
الخيارات:
أ) يخرج
ب) يدخل
ج) يعيش
د) يتجنب",أ
من طق الباب لقى الجواب,لكل فعل ردة فعل مساوة له بالمقدار و معاكسة له بالاتجاه,Central,"المهمة: أكمل الجملة بالمثل المناسب.
السؤال: الشخص الذي يسعى بجد سيجد __________.
الخيارات:
أ) من طق الباب لقى الجواب
ب) كل سحابة فيها خير
ج) الوقت كالسيف
د) أكل العنب حبة حبة",أ
مين خرج من داره قل مقداره,إلي يمشي من عند ناسوا، يقل قدره,Western,"المهمة: اكمل الفراغ بما يناسب المثل: 'مين خرج من داره ____'.
السؤال: ما هي الكلمة المناسبة لإكمال المثل 'مين خرج من داره ____'؟
الخيارات:
أ) قل مقداره
ب) كسب قدره
ج) فقد أهله
د) زاد مكانته",أ
