Term,Meaning_of_term,Dialect type,Contextual_Usage_question,correct_answer
الشدوق,الخدود  من الطايف,Western,"المهمة: اختر جملة توضح الاستخدام الصحيح لكلمة 'الشدوق'.
السؤال: أي من الجمل التالية تستخدم كلمة 'الشدوق' بشكل صحيح؟
الخيارات:
أ) أنتي تلبسين حجاب جميل
ب) شدوقك حمراء
ج) أحب الذهاب للمدرسة
د) السماء زرقاء",ب
عفش,بفتح جميع الاحرف وشدة العين مجموعة من الاغراض,Western,"المهمة: اختر المثال الصحيح الذي يُستخدم فيه كلمة 'عفش'.
السؤال: أي من الجمل التالية تُظهر الاستخدام الصحيح لكلمة 'عفش'؟
الخيارات:
أ) أنا ذاهب إلى السوق.
ب) شيلي العفش دا من الارض.
ج) المطعم يقدم طعام لذيذ.
د) أنا أحب السباحة.",ب
علاسب,مصطلح من لهجة غامد علاسب=علشان,Southern,"المهمة: اختر الجملة التي تتضمن استخداماً صحيحاً لكلمة 'علاسب'.
السؤال: أي من الجمل التالية يستخدم 'علاسب' بشكل صحيح؟
الخيارات:
أ) أنا أطبخ هالفطور علاسب بخاطري
ب) ذهبت للملعب علاسب ألعب
ج) قرأت الكتاب علاسب ما كنت مشغول
د) شاهدت الفيلم علاسب كنت تعبان",ب
بَكّاش,كذاب,Western,"المهمة: اختر الجملة التي تستخدم فيها كلمة 'بَكّاش' بشكل صحيح.
السؤال: أي من الجمل التالية توضح استخدام الكلمة 'بَكّاش'؟
الخيارات:
أ) هو دائمًا بَكّاش في كلامه.
ب) الجو اليوم بَكّاش.
ج) اشتريت بَكّاش جديد.
د) أكلت بَكّاش مع العائلة.",أ
كلجة,اي اخطا او قال كلمات غير صحيحة . كلام مكسر.,Western,"المهمة: اختر الاستخدام المناسب لكلمة 'كلجة' في الجملة.
السؤال: في أي حالة يمكن استخدام كلمة 'كلجة'؟
الخيارات:
أ) للتعبير عن الحب
ب) عند الاستهزاء بطريقة الكلام
ج) في وصف الطقس
د) عند الحديث عن الفنون",ب
وشوله,لماذا,Central,"### نوع السؤال: الاستخدام السياقي
المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية. 
السؤال: أي من الجمل التالية تستخدم كلمة ""وشوله"" بشكل صحيح؟ 
الخيارات: 
A) وشوله لازم تسوي هذا الشيء؟ 
B) أنا أحب القهوة وشوله. 
C) وشوله هو في المدرسة؟ 
D) نحن نذهب إلى السوق وشوله.",A
أبي,أريد,Central,"المهمة: حدد السياق الذي تستخدم فيه كلمة 'أبي'.
السؤال: في أي سياق تستخدم 'أبي'؟
الخيارات:
أ) عند طلب شيء
ب) عند التحدث عن العائلة
ج) عند التعبير عن المشاعر
د) عند التحية",أ
أترنو,"""أترنو"" كلمه تعني أو قريبه من معنى لكنه",Western,"المهمة: اختر الجملة التي تستخدم الكلمة 'أترنو' بشكل صحيح.
السؤال: أي الجمل التالية تستخدم الكلمة 'أترنو' بطريقة صحيحة؟
الخيارات:
أ) سمعت خبر جديد وأترنو دخلت.
ب) كان الكذاب أترنو واضح جداً.
ج) حسبته صادق أترنو كذاب.
د) أشعر أنني أترنو بحاجة للمساعدة.",ج
تفشلنا,أحرجتنا أو سببت لنا إحراج,General,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام الكلمة في سياق مناسب.
السؤال: كيف يمكن استخدام كلمة 'تفشلنا' في جملة صحيحة؟
الخيارات:
أ) تفشلنا الجو اليوم
ب) تفشلنا قدام الضيوف بتصرفه
ج) تفشلنا لأننا فزنا
د) تفشلنا وقت الراحة",ب
أتعيا,أتعيا يعني (اتساءل) و غالبا ما يقال (أتعيا به) و يستخدمها العسيريون القدامى,Southern,"المهمة: اختر الجملة التي تستخدم فيها كلمة 'أتعيا' بشكل صحيح.
السؤال: أي الجمل التالية تعبر عن استخدام كلمة 'أتعيا'؟
الخيارات:
أ) الجو جميل اليوم.
ب) أتعيا عن موضوع الواجبات.
ج) الأسعار مرتفعة.
د) أذهب إلى السوق.",ب
أتمتة,مُؤَتْمَت ، تأتمت ، أتمَتة عملية إتمام الشيء بنفسه ، انجاز العمل بشكل تلقائي مثل الطيار الآلي قيادته مؤتمتة وآلات المصانع مؤتمته,General,"المهمة: في أي سياق يمكن استخدام كلمة 'أتمتة'؟
السؤال: في جملة أي مما يلي يمكن أن تستخدم كلمة 'أتمتة' بشكل مناسب؟
الخيارات:
أ) تحتاج طائراتنا لأتمتة القيادات.
ب) يجب تبني ثقافة القراءة.
ج) لدينا تقنيات حديثة للزراعة.
د) الطعام يحتاج لتحضير جيد.",أ
أتوطى,أتوطى كلمة جنوبية بمعنى أدوس,Central,"المهمة: اختيار السياق المناسب لاستخدام كلمة 'أتوطى'.
السؤال: في أي سياق يُستخدم مصطلح 'أتوطى'؟
الخيارات:
أ) عند اللعب
ب) عند المشي على الرمل
ج) عند الطبخ
د) عند الاستماع للموسيقى",ب
هبشة,أي كثير في المنطقة الشرقية ,Eastern,"المهمة: اختر الجملة التي تستخدم فيها كلمة ""هبشة"" بشكل صحيح.
السؤال: أي من الجمل التالية هو الصحيح؟
الخيارات:
أ) أعطني هبشة من التمر.
ب) الهبشة طيارة في الجو.
ج) هو اشترى هبشة سيارة.
د) أحب أكل الهبشة مع الشاي.",أ
اتشعبط, أتسلق او تمسك,Western,"المهمة: اختر الجملة التي تستخدم فعل ""اتشعبط"" استخدامًا صحيحًا.
السؤال: أي من الجمل التالية تُستخدم فيها كلمة ""اتشعبط"" بشكل مناسب؟
الخيارات:
A) الجو اتشعبط اليوم في القرية.
B) اتشعبط الولد في الشجرة بسرعة.
C) الكتاب اتشعبط فوق الطاولة.
D) الوقت اتشعبط بعد العصر.",B
أثم,بمعنى فم الإنسان,Central,"المهمة: حدد الاستخدام الصحيح لكلمة 'أثم' في السياق.
السؤال: في الجملة: 'صك أثمك لا تأكل وأثمك مفتوح', ما هو المعنى المستخدم؟
الخيارات:
أ) فمك
ب) جارك
ج) منزلك
د) عائلتك",أ
أجغف,ياخذ بشراهة مثل الأكل,Central,"المهمة: اختر الجملة التي تستخدم فيها الكلمة بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم كلمة 'أجغف' بشكل صحيح؟
الخيارات:
أ) كان يحاول أن يجغف لكن لم يكن لديه شهية.
ب) أحضر كوب ماء ليشرب.
ج) أخذ بعض الفواكه من السوق.
د) جلس في الحديقة يستمتع بالجو.",أ
فزعة,"مساعدة/وقفة رجولية, مثال: تكفى أبي منك فزعة",General,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام الكلمة في سياق مناسب.
السؤال: كيف يمكن استخدام كلمة 'فزعة' في حوار؟
الخيارات:
أ) الجو اليوم فزعة
ب) تكفى أبي منك فزعة في الموضوع
ج) فزعة المكان بعيد
د) فزعة بعد المغرب",ب
توهق,توهق تأتي بمعنى تورط أو أصبح في ورطة وتحير في امره وتطلق عندما يدخل الإنسان في أمر يجهل عواقبه ثم لايستطيع الخروج منه,General,"المهمة: اختر الجملة التي تُظهر الاستخدام الصحيح لكلمة 'توهق'.
السؤال: أي من التالي يعبر عن استخدام كلمة 'توهق' بشكل صحيح؟
الخيارات:
أ) أنا توهقت في الأمور التقنية.
ب) توهقنا في السفر إلى البحر.
ج) كانت الحفلة ممتعة ولم أتوهق.
د) توهقت بسبب الطقس الجميل.",أ
أحبچ,"هي مفرده حساويه وتعني أحبكِ ، وتقال للأنثا والجيم الفارسيه "" چ "" تنطق ch",Eastern,"المهمة: اختر الجملة التي تستخدم فيها كلمة 'أحبچ' بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على استخدام صحيح لكلمة 'أحبچ'؟
الخيارات:
أ) أحبچ ريموه ريموه
ب) أحبجزّك كثير
ج) أحبكم عابرين
د) أحبك كلهم",أ
قحم,رجل عجوز باللهجه الجيزانية,Southern,"المهمة: حدد الاستخدام المناسب لكلمة 'قحم'.
السؤال: في أي سياق يمكن استخدام عبارة 'قحم'؟
الخيارات:
أ) في وصف شخص حكيم
ب) في وصف فتى صغير
ج) في وصف طفل
د) في وصف شاب قوي",أ
أَحُوقُه,حاق يحوق حوقاً وبمعنى:حرك بشدة أو خلطه,Central,"المهمة: اختر الجملة التي تستخدم فيها كلمة 'أَحُوقُه' بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم الكلمة بشكل صحيح؟
الخيارات:
أ) أحب قراءة الكتب.
ب) أم دحيم: حطي عسل وزيت زيتون وحوقيهن وحدة بوحدة.
ج) أذهب إلى السوق كل يوم.
د) سمعت أغنية جديدة.",ب
أخمد, لطلب من الأخر النوم والراحه,Central,"المهمة: اختر الجملة التي تعبر عن استخدام الكلمة بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم كلمة 'أخمد' بشكل صحيح؟
الخيارات:
أ) اخمد قبل الصباح.
ب) الأخمد بدأ يشتغل.
ج) زرت الأخمد في العطلة.
د) أصوات الموسيقى تعالت بعد الأخمد.",ب
أدبغك,يعني اضربك وحده على راسك تنهيك في الطايف منتشره,Western,"المهمة: حدد السياق المناسب لاستخدام كلمة 'أدبغك'.
السؤال: في أي حالة يمكن أن يُستخدم التعبير 'أدبغك'؟
الخيارات:
أ) عندما يتحدث شخص عن محادثة ودية
ب) عندما يتحدث شخص غاضب
ج) في حالة الشكر
د) عندما يتحدث شخص عن طعام",ب
أدري,بمعنى: أعرف، تأكيد لكلمة تعرف ؟,Central,"المهمة: اختر العبارة التي تستخدم فيها كلمة 'أدري' بشكل صحيح.
السؤال: أي من العبارات التالية تحتوي على استخدام صحيح لكلمة 'أدري'؟
الخيارات:
أ) أدري إن الجو حار اليوم.
ب) أدري أن السماء زرقاء.
ج) لا أدري أنني موجود.
د) أدري أن الماء يغلي عند 100 درجة.",أ
أديلو,أعطيه,Western,"المهمة: اختر الجملة المناسبة التي تُظهر استخدام كلمة 'أديلو' بشكل صحيح.
السؤال: في أي جملة تم استخدام كلمة 'أديلو' بشكل صحيح؟
الخيارات:
أ) أديلو السيارة لصديقي.
ب) أديلو الكتاب المكتوب.
ج) أديلو العصير حقه.
د) أديلو الواجب في المدرسة.",ج
أذاه,مصطلح عند عدةً من قبائل الدواسر وخصوصاً الهوامله أهل الأفلاج,Central,"المهمة: حدد الجملة التي تحتوي على الاستخدام الصحيح لمصطلح 'أذاه'.
السؤال: أي من الجمل التالية تحتوي على الاستخدام الصحيح لمصطلح 'أذاه'؟
الخيارات:
أ) أذاني الشوق لرؤية أذاه.
ب) أذاه كان هنا طوال الوقت.
ج) أذاه يحتاج لمساعدة.
د) راحت أذاه للبيت.",ب
أرقع,أرقع بمعنى اصقع,Western,"المهمة: حدد الجملة المناسبة لاستخدام كلمة 'أرقع'.
السؤال: أي الجمل التالية تستخدم الكلمة 'أرقع' في السياق المناسب؟
الخيارات:
أ) أنا أرقع طعامي في الثلاجة.
ب) في المدرسة، كنت أرقع أصدقاءي.
ج) عندما يغضب، أرقع الشخص الموجود أمامي.
د) كنت أرقع الكتاب بماء.",ج
أره,يستخدمهابعض القبائل المجاوره وتعني أنظر وهي اختصار لكملة أراه,Central,"المهمة: اختر الجملة التي تعبر عن الاستخدام الصحيح لكلمة 'أره'.
السؤال: أي من الجمل التالية يستخدم كلمة 'أره' بشكل صحيح؟
الخيارات:
أ) أره وشوف كيف هو جميل.
ب) أذهب للبيت.
ج) اسمع الأخبار.
د) انتبه للطريق.",أ
طبعباز,كلمة من اللهجة القطيفية تعني ألعاب نارية او طراطيع,General,"المهمة: اختر السياق المناسب لاستخدام كلمة 'طبعباز'.
السؤال: في أي جملة يمكن أن نستخدم كلمة 'طبعباز' بشكل صحيح؟
الخيارات:
أ) ذهبت إلى السوق لشراء طبعباز.
ب) درست اليوم في المكتبة.
ج) تناولت طعام الإفطار.
د) قرأت كتاباً عن الفن.",أ
أزريت,تعني عجزت، لم استطع,Northern,"المهمة: اختر الجملة التي تحتوي على الاستخدام الصحيح لكلمة 'أزريت'
السؤال: أي من العبارات التالية تستخدم كلمة 'أزريت' بشكل صحيح؟
الخيارات:
أ) أزريت أميز شمسها عن قمرها
ب) أزريت أذهب إلى السوق
ج) أزريت أشرب القهوة
د) أزريت مع أصدقائي",أ
أزوغ,التزويغ يمعنى : الهروب من العمل سكاتي أزوغ بمعنى أبزوط أو أفقع من الدوام.,Western,"المهمة: اختر الجملة التي تستخدم كلمة 'أزوغ' بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم 'أزوغ' بشكل صحيح؟
الخيارات:
أ) واجب العمل يتطلب التركيز.
ب) اليوم راح أزوغ من الدوام!
ج) الدراسة مهمة دائماً.
د) الأصدقاء يتعاونون في الأعمال.",ب
أستقيف,كلمة بمعنى اغرب عن وجهي، و أحيانا تستخدم لرفض طلب أحدهم,Western,"المهمة: فهم استخدام الكلمة في السياق.
السؤال: في أي موقف يُمكن استخدام كلمة 'أستقيف'؟
الخيارات:
أ) عند قبول دعوة
ب) عند رفض طلب
ج) عند الشكر
د) عندGreetings",ب
مفهي,هي حالة من السرحان المفرط,General,"المهمة: اختر استخدام المصطلح 'مفهي' في جملة سياقية صحيحة.
السؤال: أي من الجمل التالية تحتوي على استخدام صحيح للكلمة 'مفهي'؟
الخيارات:
أ) انا مفهي في المحاضرة ولا أفهم شيء.
ب) شعرت بأنني مفهي وقررت أن أذهب للرياضة.
ج) أمس كنت مفهي وكتبت واجبي بسرعة.
د) مفهي هو شيء إيجابي.",أ
أستناك,تعني أنتظرك,Central,"المهمة: اختر الجملة التي تستخدم فيها كلمة 'أستناك' بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على الاستخدام الصحيح لكلمة 'أستناك'؟
الخيارات:
أ) أنا أستناك على الرصيف.
ب) أنا أحب الطعام.
ج) كيف حالك؟
د) أحتاج إلى مساعدة.",أ
أسفهه,أي تجاهله.,Central,"المهمة: اختر الجملة التي تحتوي على استخدام صحيح لكلمة 'أسفهه'.
السؤال: أي من الجمل التالية تُظهر الاستخدام الصحيح لكلمة 'أسفهه'؟
الخيارات:
أ) هو أسفهه في محادثته.
ب) هي أسفهه الكتاب.
ج) نحن أسفهه الجهود.
د) لقد أسفهه الأشياء المهمة.",أ
أسْلَتْ,تطلق على من يتساقط سرواله بشكل مستمر نظراً لعدم ارتدائه للحزام أو لصغر خصره مقارنة بالسروال الذي يرتديه وغالبا ما تطلق على الاطفال دون الرابعة.,Western,"المهمة: اختر الاستخدام الصحيح للكلمة في سياق مناسب.
السؤال: أي من الجمل التالية تستخدم كلمة 'أسْلَتْ' بشكل صحيح؟
الخيارات:
أ) أنا أسلت في المدرسة
ب) الأصدقاء يحبون اللعب
ج) أقولك يا أسلت ! تراك طفشتني سروالك كل شوية يطيح !
د) الجو جميل اليوم",ج
أشقح,بمعنى : قفز شيء معين وعدم وضع الرجل عليه.,Western,"المهمة: اختر الجملة التي استخدمت فيها كلمة 'أشقح' بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على استخدام صحيح لكلمة 'أشقح'؟
الخيارات:
أ) نزلت من السيارة وبدأت أشقح الطاولة.
ب) في الحفلة، كل واحد اشقح وما سقط.
ج) تلعب مع الأطفال وأنت تشقح.
د) لا تنسى أن تشقح الحديقة.",ب
أشقله,تعني ارفعه وقد تعني الرفع بقوة وسرعة أو بمعنى الرفع عموما و تنطق القاف بنطق أهل نجد المعروف.,Central,"المهمة: اختر استخدام كلمة 'أشقله' في السياق المناسب.
السؤال: في أي جملة يمكن استخدام كلمة 'أشقله' بشكل صحيح؟
الخيارات:
أ) أنا أشغل التلفاز.
ب) اشقل العربة لو سمحت.
ج) أشرب العصير.
د) أقرأ الكتاب.",ب
أشكل,لم يلقي له بالاً - طنش,General,"المهمة: اختر الاستخدام الصحيح لكلمة 'أشكل'.
السؤال: كيف يمكن استخدام كلمة 'أشكل' في جملة؟
الخيارات:
أ) أخذ دروس في الفن
ب) جربت أن أتناقش معه ولكنه ______.
ج) قررت السفر
د) ذهبت إلى العمل",ب
أصحى,تعني انتبة او احذر,Western,"المهمة: اختيار الجملة الصحيحة التي تستخدم فيها كلمة 'أصحى'.
السؤال: في أي من الجمل التالية تم استخدام كلمة 'أصحى' بشكل صحيح؟
الخيارات:
أ) أصحى في الفجر
ب) أصحى الطعام
ج) أصحى الكتاب
د) أصحى السيارة",أ
أطائيط,"تعني الأطفال أو الصغار . وتقال ""أطوطه"" للفتاه المملوحه و ال cute .",General,"المهمة: اختر الجملة التي تستخدم كلمة 'أطائيط' بشكل صحيح.
السؤال: أي من الجمل التالية يتضمن استخداماً صحيحاً لكلمة 'أطائيط'؟
الخيارات:
أ) مبروك عليكم الطقس
ب) هالأطائيط يلعبون في الحديقة
ج) أنا أحب القهوة
د) السوق زحمة اليوم",ب
أطخم,أطخم = حلو,Western,"المهمة: اختر الجملة الصحيحة التي تستخدم فيها كلمة 'أطخم'.
السؤال: أي من الجمل التالية تستخدم كلمة 'أطخم' بشكل صحيح؟
الخيارات:
أ) السماء زرقاء
ب) هذا الأكل أطخم
ج) الجو حار
د) الكتاب مفيد",ب
أمّا,كلمة تستخدم للتعجب ، بمعنى غير معقول؟ أو لا أصدق.,General,"المهمة: اختر الجملة المناسبة التي تستخدم فيها الكلمة بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم كلمة 'أمّا' بشكل صحيح؟
الخيارات:
أ) أمّا الجو حار اليوم
ب) أمّا أنا أحب الرياضة
ج) أمّا إش رأيك في الأمر؟
د) أمّا الوقت متأخر",ج
أفرك,بمعنى : إهرب أو الهروب بسرعة قبل حدوث مصيبة .,Western,"المهمة: اختر الأفضل الذي يعبر عن استخدام كلمة 'أفرك' في سياق صحيح.
السؤال: أي من الجمل التالية تستخدم كلمة 'أفرك' بشكل صحيح؟
الخيارات:
أ) أفرك، أنا في المحل.
ب) شفتهم من هنا فركو.
ج) أفرك وهو يلعب.
د) أفرك في المدرسة.",ب
أفعص,يهرس او يحطم الشئ دهساً عليه.,Western,"المهمة: حدد الاستخدام الصحيح للكلمة 'أفعص' في الحوار التالي.
السؤال: أي من الخيارات التالية يستخدم كلمة 'أفعص' بطريقة صحيحة؟
الخيارات:
أ) أنا أفعص الورقة بقوة
ب) هي أفعصت الكتاب للأعلى
ج) هو أفعص الفواكه لتتجمع
د) هم أفعصوا العدو بهدوء",أ
زودها,بالغ أو تجاوز الحد,General,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام الكلمة في سياق مناسب.
السؤال: كيف يمكن استخدام كلمة 'زودها' في حوار؟
الخيارات:
أ) زودها الجو اليوم
ب) زودها في الكلام وما خلا شي
ج) زودها الموعد بكرة
د) زودها العشاء",ب
أقدع,أقدع بمعنى أحذف,Western,"المهمة: اختر الاستخدام الصحيح للكلمة في الجملة.
السؤال: أي من الجمل التالية تستخدم كلمة 'أقدع' بشكل صحيح؟
الخيارات:
أ) أقدع في العمل
ب) لا تقدع بالحجر
ج) أقدع في الكتابة
د) تقدع الأكل",ب
أقيّس,أقيّس بمعنى أظن أو أعتقد,Western,"المهمة: حدد الاستخدام الصحيح لكلمة 'أقيّس' في الجملة.
السؤال: أي جملة تحتوي على الاستخدام الصحيح لكلمة 'أقيّس'?
الخيارات:
أ) أقيّس إن الجو باردا في الخارج.
ب) أقيّس أنني سأذهب إلى الشارع.
ج) أقيّس أن العيد قريب.
د) أقيّس إنني أحب العصير.",أ
أَكُد,نقولها لما نطلب من احد إنو يمشط لنا شعرنا أو نمشط شعرنا و هكذا,Western,"المهمة: اختيار الجملة الصحيحة من الجمل المقترحة التي تحتوي على كلمة 'أكُد'.
السؤال: أي من الجمل التالية يُظهر الاستخدام الصحيح لكلمة 'أكُد'؟
الخيارات:
أ) أنا أكُد شعري بعد العشاء.
ب) أحضرت أكُد لنا القهوة.
ج) نحتاج لأكُد قبل الذهاب.
د) أشاهد أكُد في التلفاز.",أ
أكفتو,- بمعنى أدٍخل، أدٍخل بسرعة وبخفة,Western,"المهمة: اختر الجملة التي تستخدم كلمة 'أكفتو' بشكل صحيح.
السؤال: أي الجمل التالية تحتوي على استخدام صحيح لكلمة 'أكفتو'؟
الخيارات:
أ) أكفتو لي في المكان! 
ب) أريد أكفتو طعام!
ج) أكفتو في الصف!
د) لا تتأخر، أكفتو بسرعة!",د
ألزخك,هي كلمة بمعنى ( أضربك ) لكنها تقال حين تكون الضربة خارجة من القلب فيستجمع قواه ويقول ( ألزخك ) الفعل منها ( يلزخ - لزخ - إلزخه ).,Central,"المهمة: اختر الجملة التي تستخدم فيها كلمة 'ألزخك' بشكل صحيح.
السؤال: أي من الجمل التالية يتناسب مع التعبير 'ألزخك'؟
الخيارات:
أ) أنا أحبك
ب) إذا لم تخرج معي سألزخك
ج) أراك لاحقاً
د) نذهب إلى السوق",ب
أمبا,"في اللهجة القطيفية يعني ""أريد""",Eastern,"المهمة: اختر السياق الصحيح لاستخدام كلمة 'أمبا'.
السؤال: كيف يمكن استخدام كلمة 'أمبا' في جملة؟
الخيارات:
أ) أمبا أروح السوق.
ب) أمبا شجرة جميلة.
ج) أمبا في البيت.
د) أمبا لوحة جميلة.",أ
أنبوبة,المصطلح المتعارف عليه لدى أهل الحجاز لأسطوانة غاز الطبخ. أيضا يقال (راعي الأنبوبة) للشخص المسؤول عن الدوران في الشوارع واستبدال الأنبوبات الفارغة بأنبوبات مليئة.,Western,"المهمة: اختر الاستخدام الصحيح لكلمة 'أنبوبة' في سياق الجملة.
السؤال: الجملة: 'الأكل خرب، لأن الأنبوبة ذيج ______.'
الخيارات:
أ) مستخدمة
ب) فارغة
ج) مزدحمة
د) جديدة",ب
أنْتسعِمْ,أنْتسعمْ بتسكين النون ونطق حرفي ت و س مع بعضهما. وهي بمعنى أسكت أو أصمت أو مرادف للكلمه النجديه أنفهدز وهي كلمه غالبا مآتقال عند الحآجه الملحّه للطرف الآخر أن يسكت.,Central,"المهمة: اختر السياق الصحيح لكلمة 'أنْتسعِمْ'.
السؤال: في أي سياق يمكن استخدام كلمة 'أنْتسعِمْ'؟
الخيارات:
أ) خلال حديث هادئ
ب) في مناسبة احتفالية
ج) خلال محادثة صاخبة
د) في درس تعليم",ج
أنثبر,أنثبر تأتي بمعنى الزم مكانك وتأتي بمعنى اسكت,Central,"المهمة: اختر الجملة التي تستخدم كلمة 'أنثبر' بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم على نحو صحيح كلمة 'أنثبر'؟
الخيارات:
أ) لا تذهب بعيداً عن المكان
ب) أنثبر عند أصدقائك
ج) أنثبر لحظة
د) يمكنك أنثبر الآن",ج
أندُر,"فعل أمر بمعنى (اخرج). والماضي منه ""ندر""",Southern,"المهمة: اختر الاستخدام الأكثر ملاءمة لكلمة 'أندُر' في السياق.
السؤال: في أي موقف يمكن استخدام كلمة 'أندُر' بشكل صحيح؟
الخيارات:
أ) عند الدخول إلى مكان
ب) عندما تكون في حفل
ج) عند الخروج من غرفة
د) عندما تتحدث مع صديق",ج
أَندُري,أَندُري او أندر ( بفتح الالف وشد الدال ) معناها أنزل/ي او ايضاً اخرج/ي,Western,"المهمة: اختر الجملة التي تستخدم فيها كلمة 'أَندُري' بشكل صحيح.
السؤال: أي من الجمل التالية تعبر عن استخدام صحيح لكلمة 'أَندُري'؟
الخيارات:
أ) أندُري لنا غدا نذهب
ب) أندُري الطعام للطاولة
ج) أندُري اندهي لي اخوك
د) أندُري مساعدة لي",ج
