Term,Meaning_of_term,Dialect type,True_False_question,correct_answer
أتوطى,أتوطى كلمة جنوبية بمعنى أدوس,Central,"المهمة: تحديد صحة العبارة التالية.
السؤال: عبارة 'أتوطى تعني أن أستريح' صحيحة.
الخيارات:
أ) صحيح
ب) خطأ",ب
هبشة,أي كثير في المنطقة الشرقية ,Eastern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة ""هبشة"" تُستخدم في العادة للتعبير عن كمية كبيرة من شيء.
الخيارات:
أ) صحيح
ب) خاطئ",أ
اتشعبط, أتسلق او تمسك,Western,"المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية.
السؤال: فعل ""اتشعبط"" يدل على التمسك أو التسلق بقوة.
الخيارات:
A) صحيح
B) خطأ",A
أثم,بمعنى فم الإنسان,Central,"المهمة: قم بتحديد صحة العبارة التالية.
السؤال: كلمة 'أثم' تعني فم الإنسان.
الخيارات:
أ) صحيح
ب) خطأ",أ
أجغف,ياخذ بشراهة مثل الأكل,Central,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خطأ.
السؤال: عبارة 'محيميد يجغف من الكبسة' تدل على أن محيميد يأكل الطعام ببطء.
الخيارات:
أ) صحيح
ب) خطأ",ب
فزعة,"مساعدة/وقفة رجولية, مثال: تكفى أبي منك فزعة",General,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: كلمة 'فزعة' تُستخدم للدلالة على المساعدة والوقوف مع الآخرين.
الخيارات:
أ) صحيح
ب) خاطئ",أ
توهق,توهق تأتي بمعنى تورط أو أصبح في ورطة وتحير في امره وتطلق عندما يدخل الإنسان في أمر يجهل عواقبه ثم لايستطيع الخروج منه,General,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الإجابة الصحيحة. 
السؤال: كلمة ""توهق"" تعني أن الشخص يدخل في موقف واضح وعواقبه معروفة. 
الخيارات: 
A) صحيح 
B) خطأ - لأن الكلمة تعني أن الشخص يدخل في ورطة ولا يعرف عواقبها.",B
أحبچ,"هي مفرده حساويه وتعني أحبكِ ، وتقال للأنثا والجيم الفارسيه "" چ "" تنطق ch",Eastern,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: تستخدم كلمة 'أحبچ' في اللهجة السعودية للتعبير عن الحب.
الخيارات:
أ) صحيح
ب) خطأ",أ
قحم,رجل عجوز باللهجه الجيزانية,Southern,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الإجابة الصحيحة. 
السؤال: العبارة ""مات القحم"" تعني أن رجلًا شابًا قد توفي. 
الخيارات: 
A) صحيح 
B) خطأ",B
أَحُوقُه,حاق يحوق حوقاً وبمعنى:حرك بشدة أو خلطه,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'أَحُوقُه' تعني التحرك بخفه.
الخيارات:
أ) صحيح
ب) خاطئ",ب
أخمد, لطلب من الأخر النوم والراحه,Central,"المهمة: حدد ما إذا كانت الجملة صحيحة أم خطأ.
السؤال: الجملة التالية صحيحة أم خاطئة: 'أخمد تعني الاسترخاء والنوم.'
الخيارات:
أ) صحيح
ب) خطأ",أ
أدبغك,يعني اضربك وحده على راسك تنهيك في الطايف منتشره,Western,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'أدبغك' تعني 'أضربك على يدك'.
الخيارات:
أ) صحيح
ب) خطأ",ب
أدري,بمعنى: أعرف، تأكيد لكلمة تعرف ؟,Central,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'أدري' تعني 'لا أعرف'.
الخيارات:
أ) صحيح
ب) خطأ",ب
أديلو,أعطيه,Western,"المهمة: قم بتحديد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'أديلو' تعني 'أخذته'.
الخيارات:
أ) صحيح
ب) خطأ",ب
أذاه,مصطلح عند عدةً من قبائل الدواسر وخصوصاً الهوامله أهل الأفلاج,Central,"المهمة: حدد صحة العبارة التالية.
السؤال: مصطلح 'أذاه' يستخدم في أغلب مناطق المملكة العربية السعودية.
الخيارات:
أ) صحيح
ب) خطأ",ب
أرقع,أرقع بمعنى اصقع,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'والله لا أرقعك كف على وجهك' تعني أن الشخص سيهدد بالضرب.
الخيارات:
أ) صحيح
ب) خاطئ",أ
أره,يستخدمهابعض القبائل المجاوره وتعني أنظر وهي اختصار لكملة أراه,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'أره' تستخدم في اللهجة السعودية وتعني انظر.
الخيارات:
أ) صحيحة
ب) خاطئة",أ
طبعباز,كلمة من اللهجة القطيفية تعني ألعاب نارية او طراطيع,General,"المهمة: حدد ما إذا كانت الجملة التالية صحيحة أم خاطئة.
السؤال: كلمة 'طبعباز' تعني ألعاب نارية.
الخيارات:
أ) صحيحة
ب) خاطئة",أ
أزريت,تعني عجزت، لم استطع,Northern,"المهمة: تقييم العبارة التالية
السؤال: كلمة 'أزريت' تعني قدرت على فعل شيء.
الخيارات:
أ) صحيح
ب) خطأ",ب
أزوغ,التزويغ يمعنى : الهروب من العمل سكاتي أزوغ بمعنى أبزوط أو أفقع من الدوام.,Western,"المهمة: حدد إذا كانت الجملة صحيحة أم خاطئة.
السؤال: تستخدم كلمة 'أزوغ' للدلالة على الالتزام والجدية في العمل.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
أستقيف,كلمة بمعنى اغرب عن وجهي، و أحيانا تستخدم لرفض طلب أحدهم,Western,"المهمة: تحديد صحة العبارة.
السؤال: كلمة 'أستقيف' تعني 'يرفض طلب أحدهم'.
الخيارات:
أ) صحيح
ب) خطأ",أ
مفهي,هي حالة من السرحان المفرط,General,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الجواب الصحيح فقط بدون أي ملاحظات إضافية. 
السؤال: العبارة ""مفهي"" تشير إلى حالة تركيز واستيعاب. 
الخيارات: 
A) صحيح 
B) خطأ - لأن ""مفهي"" تعني حالة من السرحان المفرط.",B
أستناك,تعني أنتظرك,Central,"المهمة: حدد صحة العبارة التالية.
السؤال: العبارة 'أستناك' تعني 'لا أستطيع الانتظار'.
الخيارات:
أ) صحيح
ب) خطأ",ب
أسفهه,أي تجاهله.,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'أسفهه' تعني الانتباه أو الإحساس بشيء.
الخيارات:
أ) صحيح
ب) خطأ",ب
أسْلَتْ,تطلق على من يتساقط سرواله بشكل مستمر نظراً لعدم ارتدائه للحزام أو لصغر خصره مقارنة بالسروال الذي يرتديه وغالبا ما تطلق على الاطفال دون الرابعة.,Western,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تطلق كلمة 'أسْلَتْ' غالباً على البالغين.
الخيارات:
أ) صحيح
ب) خطأ",ب
أشقح,بمعنى : قفز شيء معين وعدم وضع الرجل عليه.,Western,"المهمة: حدد إذا كانت العبارة صحيحة أو خاطئة.
السؤال: كلمة 'أشقح' تعني 'عدم الوقوف على الأرض'.
الخيارات:
أ) صحيح
ب) خطأ",أ
أشقله,تعني ارفعه وقد تعني الرفع بقوة وسرعة أو بمعنى الرفع عموما و تنطق القاف بنطق أهل نجد المعروف.,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'أشقله' تعني اجعل الخزانة أثقل.
الخيارات:
أ) صحيح
ب) خطأ",ب
أشكل,لم يلقي له بالاً - طنش,General,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'أشكل' تعني 'أعطى أهمية لأمر ما'.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
أصحى,تعني انتبة او احذر,Western,"المهمة: تحديد صحة العبارة المتعلقة بكلمة 'أصحى'.
السؤال: تستخدم كلمة 'أصحى' للإشارة إلى 'نام' في اللهجة السعودية.
الخيارات:
أ) صحيح
ب) خطأ",ب
أطائيط,"تعني الأطفال أو الصغار . وتقال ""أطوطه"" للفتاه المملوحه و ال cute .",General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تُستخدم كلمة 'أطائيط' في اللهجة السعودية للإشارة إلى الحيوانات.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
أطخم,أطخم = حلو,Western,"المهمة: حدد صحة العبارة التالية.
السؤال: كلمة 'أطخم' تعني في اللهجة الحجازية 'قبيح'.
الخيارات:
أ) صحيح
ب) خطأ",ب
أمّا,كلمة تستخدم للتعجب ، بمعنى غير معقول؟ أو لا أصدق.,General,"المهمة: اقرأ العبارة وحدد ما إذا كانت صحيحة أو خاطئة.
السؤال: كلمة 'أمّا' تُستخدم للدلالة على الثقة.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
أفرك,بمعنى : إهرب أو الهروب بسرعة قبل حدوث مصيبة .,Western,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'أفرك تعني اصطدم بشيء.' هي عبارة صحيحة.
الخيارات:
أ) صحيح
ب) خطأ",ب
أفعص,يهرس او يحطم الشئ دهساً عليه.,Western,"المهمة: قم بتحديد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تستخدم كلمة 'أفعص' بمعنى التعبير عن الحزن.
الخيارات:
أ) صحيح
ب) خطأ",ب
زودها,بالغ أو تجاوز الحد,General,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال:
تُستخدم كلمة «زودها» في اللهجة السعودية للتعبير عن طلب المساعدة من شخص آخر.

الخيارات:
أ) صحيح
ب) خاطئ",ب
أقدع,أقدع بمعنى أحذف,Western,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'أقدع بمعنى أحذف' صحيحة.
الخيارات:
أ) صحيحة
ب) خاطئة",أ
أقيّس,أقيّس بمعنى أظن أو أعتقد,Western,"المهمة: حدد صحة العبارة التالية.
السؤال: كلمة 'أقيّس' تعني أظن أو أعتقد.
الخيارات:
أ) صح
ب) خطأ",أ
أَكُد,نقولها لما نطلب من احد إنو يمشط لنا شعرنا أو نمشط شعرنا و هكذا,Western,"المهمة: تحديد صحة العبارة المتعلقة بكلمة 'أكُد'.
السؤال: جملة 'أكُد تعني أن نطلب من أحد أن يمشط لنا شعرنا' هي جملة صحيحة.
الخيارات:
أ) صحيح
ب) خطأ",أ
أكفتو,- بمعنى أدٍخل، أدٍخل بسرعة وبخفة,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'أكفتو' تعني 'خذ وقتك'؟
الخيارات:
أ) صحيح
ب) خاطئ",ب
ألزخك,هي كلمة بمعنى ( أضربك ) لكنها تقال حين تكون الضربة خارجة من القلب فيستجمع قواه ويقول ( ألزخك ) الفعل منها ( يلزخ - لزخ - إلزخه ).,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'ألزخك' تستخدم في سياق عادي دون أي تعبير عاطفي.
الخيارات:
أ) صحيح
ب) خطأ",ب
أمبا,"في اللهجة القطيفية يعني ""أريد""",Eastern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'أمبا' تعني 'أحب' في اللهجة القطيفية.
الخيارات:
أ) صحيح
ب) خاطئ",ب
أنبوبة,المصطلح المتعارف عليه لدى أهل الحجاز لأسطوانة غاز الطبخ. أيضا يقال (راعي الأنبوبة) للشخص المسؤول عن الدوران في الشوارع واستبدال الأنبوبات الفارغة بأنبوبات مليئة.,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: كلمة 'أنبوبة' تعني وعاء للماء في اللهجة الحجازية.
الخيارات:
أ) صحيح
ب) خطأ",ب
أنْتسعِمْ,أنْتسعمْ بتسكين النون ونطق حرفي ت و س مع بعضهما. وهي بمعنى أسكت أو أصمت أو مرادف للكلمه النجديه أنفهدز وهي كلمه غالبا مآتقال عند الحآجه الملحّه للطرف الآخر أن يسكت.,Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'أنْتسعِمْ' تعني 'أدعو أحداً للصمت'؟
الخيارات:
أ) صحيح
ب) خطأ",أ
أنثبر,أنثبر تأتي بمعنى الزم مكانك وتأتي بمعنى اسكت,Central,"المهمة: حدد إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'أنثبر' تعني تكلّم بصوت منخفض.
الخيارات:
أ) صحيح
ب) خطأ",ب
أندُر,"فعل أمر بمعنى (اخرج). والماضي منه ""ندر""",Southern,"المهمة: تحديد صحة العبارة التالية:
السؤال: كلمة 'أندُر' تعني 'الدخول' في اللهجة السعودية.
الخيارات:
أ) صحيح
ب) خطأ",ب
أَندُري,أَندُري او أندر ( بفتح الالف وشد الدال ) معناها أنزل/ي او ايضاً اخرج/ي,Western,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: كلمة 'أَندُري' تعني 'ادخل' في اللهجة الحجازية.
الخيارات:
أ) صحيح
ب) خطأ",ب
أنصلق,انْصٓلٓقْ كلمة نجدية تعني انسكب وتستخدم للتعبير عن انسكاب السوائل غالباً الماء,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'أنصلق' تعني في اللهجة النجدية 'يتمثل في عملية الإغلاق'.
الخيارات:
أ) صحيح
ب) خاطئ",ب
أنغرف,أنغرف > بمعنى اذهب او انقلع,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'أنغرف' تعني 'ابقى هنا'.
الخيارات:
أ) صحيح
ب) خطأ",ب
أنفهدز,تستعمل لأمر شخصا ما بالتراجع للخلف وحرف الدال والزاي بديل لحرف القاف بالاساس اي ( انفهق ) وانفهق مشتقه من الفهقه اي التأجيل او التأخير ومنها ايضا الامر ( افهق او افهقها ) اي اعد او اعدها للخلف .,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'أنفهدز' تعني 'ابقى مكانك'.
الخيارات:
أ) صحيح
ب) خاطئ",ب
أنقُز,أنقز للذكر بمعنى : أقفز . أنقزي للأنثى بمعنى : أقفزي .,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'أنقُز' تعني في اللهجة الحجازية 'أقفز'.
الخيارات:
أ) صحيح
ب) خطأ",أ
أَنكَتِم,كف عن الكلام,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'أَنكَتِم' تعني 'توقف عن الكلام'.
الخيارات:
أ) صحيح
ب) خطأ",أ
أنهج,تعني اسرع او استعجل . الزوج يقول لزوجتة انهجي علي خل نروح بدري ) وتستعمل غالبا في منطقة سدير والقصيم,Northern,"المهمة: حدد صحة العبارة.
السؤال: كلمة 'أنهج' تستخدم في منطقة سدير والقصيم.
الخيارات:
أ) صحيح
ب) خطأ",أ
أوخّو,نام (للاطفال),Western,"المهمة: تقييم العبارة التالية.
السؤال: كلمة 'أوخّو' تعني 'استمتع'.
الخيارات:
أ) صحيح
ب) خطأ",ب
مبزره,تقال عند تصرف اي شخصاً كان متصرفا تصرف صغار,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'مبزره' تعني التصرف بصورة ناضجة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
أولاه,"أولاه! مصطلح يعني ""أرجوك""",Central,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'أولاه' تستخدم فقط في منطقة الحجاز.
الخيارات:
أ) صحيح
ب) خطأ",ب
أي ساد,هي كلمه تعني لآمشكله لدي في ذللك و تستخدم في التهديد أو القبول ل شيء وهي كلمه حساويه,Eastern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'أي ساد' تستخدم بشكل رئيسي في التهديد.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
أيوا (أيوه),"أيوا (أيواه) تستخدم بكثرة في اللهجات الدارجة. وتتكون من شقين الأول ""أي"" و معناها ""بمعنى"" وتستخدم للتفسير عن شيء وإذا جائت بالكسر ""إي"" عادة تلحق بالحلف والقسم مثل ""إي والله"". الشق الثاني ""واه"" وهو من أسماء الأفعال ويعني ""أتعجب"". جمعت الكلمين في كلمة عن طريق ما يسمى النحت فصارت أيواه أو أيوا. نلاحظ ان الهاء تحذف في أوقات كثيرة للتخفيف. أيوا تأتي في معاني متعددة مثل أتعجب أو بمعنى نعم والموافقة.",Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'أيوا' تستخدم فقط في حالات الاستغراب.
الخيارات:
أ) صحيح
ب) خطأ",ب
مُبّطِي,مبطي تعني منذ زمن ( من زمان ),Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'مُبّطِي' تعني 'من زمان'.
الخيارات:
أ) صحيح
ب) خاطئ
الإجابة الصحيحة:",
إحلته,كلمة نجدية تعني ارمِه أو ألقه,Central,"المهمة: حدد إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: كلمة 'إحلته' تشير إلى جمع الأشياء.
الخيارات:
أ) صحيح
ب) خطأ",ب
إرتكز,تعني أقعد ، و تستخدم هذه الكلمة بين العائلات المكاوية عادة,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خطأ.
السؤال: كلمة 'إرتكز' تُستخدم عادةً بين العائلات المكاوية.
الخيارات:
أ) صحيح
ب) خطأ",أ
إركد,يعني اذا كان الشخص يدور ولا يجلس يقولون اركد اي اجلس او لاتتحرك كثيرا,General,"المهمة: حدد مدى صحة العبارة التالية.
السؤال: عبارة 'إركد' تعني اذهب بعيداً.
الخيارات:
أ) صحيح
ب) خطأ",ب
إزحط,ازحط بمعنى افسح لي وهي تستخدم في قبائل جهينة الموجوده في شمال السعوديه من جهة الغرب,Northern,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: كلمة 'إزحط' تستخدم معانها 'افسح لي مكان' في لهجة أهل الشمال.
الخيارات:
أ) صحيح
ب) خطأ",أ
إشْبَح,إشْبَح : انظر,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'إشْبَح' تعني 'استرح'.
الخيارات:
أ) صحيح
ب) خطأ",ب
إشقح ( الأحساء ),اقفز على الحاجز,Central,"المهمة: تحديد صحة العبارة.
السؤال: العبارة التالية صحيحة: كلمة 'إشقح' تعني اجلس بهدوء.
الخيارات:
أ) صحيح
ب) خطأ",ب
إشِّكْلو,كلمة يطلقها الشخص عندما لا يفهم ما يقوله الطرف الآخر و تطلق أيضا عند سماع عبارة غريبة أو غامضة من الطرف الآخر و يقصد مطلق هذه العبارة في العادة الطلب من الطرف الآخر توضيح ماذا يقصد,Western,"المهمة: قرر ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'إشِّكْلو' تستخدم عندما يفهم الشخص ما يقوله الآخر.
الخيارات:
أ) صحيح
ب) خاطئ",ب
إشّيكلُو,تقال للاستغراب,Western,"المهمة: حدد صحة العبارة التالية.
السؤال: كلمة 'إشّيكلُو' تستخدم للتعبير عن الاستغراب.
الخيارات:
أ) صحيح
ب) خطأ",أ
إفحز,افحز تأتي بمعنى : أزِح . أي افسح المكان ليجلس احد . ( لا تأتي إلا دلالةً على مكان الجلوس),Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'إفحز' تعني اجلس في المكان.
الخيارات:
أ) صحيح
ب) خاطئ",ب
إكرم,إكرم: تعني الاكتفاء من القهوة,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'إكرم' تشير إلى السعادة بالزيارة.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
إلّا,كلمة تأتي بمعنى نفى او عكس الموقف . معناها : بلى,General,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'إلّا' تحتوي على معنى نفي أو عكس الموقف.
الخيارات:
أ) صحيح
ب) خاطئ",أ
إلفز,إلفزه >>يعني خبأه أو إتركه أو ألقيه في مكان لايعلم أحد .,General,"المهمة: تحديد صحة العبارة المتعلقة بكلمة 'إلفز'.
السؤال: عبارة 'إلفز تعني أعطاه' صحيحة أم خاطئة؟
الخيارات:
أ) صحيحة
ب) خاطئة",ب
إلين,إلين: حرف جر مرادف لكلمة إلى. ملاحظة/ الكلمة منحوتة من (إلى-أين),General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: الدلالة الصحيحة لكلمة 'إلين' هي أنها تعني 'من'.
الخيارات:
أ) صحيح
ب) خاطئ",ب
قوطه,هذا كلمه معناها طماطم,Southern,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تستخدم كلمة 'قوطه' للإشارة إلى الجزر.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
إنطم,بمعنى : اخرس ويقولها عادة الشخص الضجران للشخص الاخر اذا خالفه في وجهة النظر,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'إنطم' تعني 'صمت' ولا تستخدم إلا في الرياض.
الخيارات:
أ) صحيح
ب) خطأ",ب
