Term,Meaning_of_term,Dialect type,Meaning_question,correct_answer
أثم,بمعنى فم الإنسان,Central,"المهمة: حدد المعنى الصحيح لكلمة 'أثم'.
السؤال: ما هو المعنى الصحيح لكلمة 'أثم'؟
الخيارات:
أ) دلالة على فم الإنسان
ب) إشارة إلى باب المنزل
ج) تعبير عن الكسل
د) وصف للسرعة",أ
أجغف,ياخذ بشراهة مثل الأكل,Central,"المهمة: حدد المعنى الصحيح لكلمة 'أجغف'.
السؤال: ما معنى كلمة 'أجغف'؟
الخيارات:
أ) يأخذ بشراهة مثل الأكل
ب) يتجنب الأكل
ج) يأكل ببطء
د) ينظر إلى الطعام فقط",أ
فزعة,"مساعدة/وقفة رجولية, مثال: تكفى أبي منك فزعة",General,"المهمة: حدد المعنى الصحيح لكلمة 'فزعة'.
السؤال: ما هو المعنى الذي تعبر عنه كلمة 'فزعة'؟
الخيارات:
أ) تجاهل
ب) مساعدة
ج) لوم
د) منافسة",ب
توهق,توهق تأتي بمعنى تورط أو أصبح في ورطة وتحير في امره وتطلق عندما يدخل الإنسان في أمر يجهل عواقبه ثم لايستطيع الخروج منه,General,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة. 
السؤال: ما معنى كلمة ""توهق""؟ 
الخيارات: 
A) الحصول على مساعدة 
B) الدخول في ورطة 
C) السفر بعيدًا 
D) الاختيار الصحيح",B
أحبچ,"هي مفرده حساويه وتعني أحبكِ ، وتقال للأنثا والجيم الفارسيه "" چ "" تنطق ch",Eastern,"المهمة: حدد المعنى الصحيح لكلمة 'أحبچ'.
السؤال: ماذا تعني كلمة 'أحبچ'؟
الخيارات:
أ) أحبكِ
ب) أكرهكِ
ج) أفتقدكِ
د) أقدركِ",أ
قحم,رجل عجوز باللهجه الجيزانية,Southern,"المهمة: اختر الإجابة الصحيحة. 
السؤال: ما معنى ""قحم""؟ 
الخيارات: 
A) شاب 
B) رجل مسن 
C) طفل 
D) امرأة",B
أَحُوقُه,حاق يحوق حوقاً وبمعنى:حرك بشدة أو خلطه,Central,"المهمة: حدد المعنى الصحيح لكلمة 'أَحُوقُه'.
السؤال: ما هو المعنى الصحيح لكلمة 'أَحُوقُه'؟
الخيارات:
أ) تحرك بخفه
ب) خلط بشدة
ج) تناول الطعام
د) تركز على شيء",ب
أخمد, لطلب من الأخر النوم والراحه,Central,"المهمة: حدد المعنى الصحيح لكلمة 'أخمد'.
السؤال: ما هو المعنى الحقيقي لكلمة 'أخمد'؟
الخيارات:
أ) النوم والراحه
ب) إيقاظ الآخرين
ج) التأمل بعمق
د) اللعب في الخارج",أ
أدبغك,يعني اضربك وحده على راسك تنهيك في الطايف منتشره,Western,"المهمة: احدد المعنى الصحيح لكلمة 'أدبغك'.
السؤال: ماذا تعني كلمة 'أدبغك'؟
الخيارات:
أ) اضربك على رأسك
ب) أرحب بك
ج) أساعدك
د) أحتفل بك",أ
أدري,بمعنى: أعرف، تأكيد لكلمة تعرف ؟,Central,"المهمة: حدد المعنى الصحيح لكلمة 'أدري'.
السؤال: ماذا تعني كلمة 'أدري'؟
الخيارات:
أ) لا أعرف
ب) أعرف
ج) أظن
د) ربما",ب
أديلو,أعطيه,Western,"المهمة: حدد المعنى الصحيح لكلمة 'أديلو'.
السؤال: ما معنى كلمة 'أديلو'؟
الخيارات:
أ) أشتريه
ب) أعطيه
ج) أُعيده
د) أطلبه",ب
أذاه,مصطلح عند عدةً من قبائل الدواسر وخصوصاً الهوامله أهل الأفلاج,Central,"المهمة: حدد المعنى الصحيح لمصطلح 'أذاه'.
السؤال: ما هو المعنى الصحيح لمصطلح 'أذاه'؟
الخيارات:
أ) مصطلح عند عدةً من قبائل الدواسر
ب) نوع من الطيور
ج) مدينة في السعودية
د) نوع من الملابس",أ
أرقع,أرقع بمعنى اصقع,Western,"المهمة: حدد المعنى الصحيح لكلمة 'أرقع'.
السؤال: ما معنى كلمة 'أرقع' في اللهجة الحجازية؟
الخيارات:
أ) أصرخ
ب) أصقع
ج) أستطيع
د) أضرب",ب
أره,يستخدمهابعض القبائل المجاوره وتعني أنظر وهي اختصار لكملة أراه,Central,"المهمة: حدد المعنى الصحيح لكلمة 'أره'.
السؤال: ماذا تعني كلمة 'أره' في اللهجة السعودية؟
الخيارات:
أ) انظر
ب) اذهب
ج) أسمع
د) انتبه",أ
طبعباز,كلمة من اللهجة القطيفية تعني ألعاب نارية او طراطيع,General,"المهمة: حدد المعنى الصحيح لكلمة 'طبعباز'.
السؤال: ما معنى كلمة 'طبعباز'؟
الخيارات:
أ) طعام شهي
ب) ألعاب نارية
ج) مكان سفر
د) نوع من الملابس",ب
أزريت,تعني عجزت، لم استطع,Northern,"المهمة: اختر المعنى الصحيح لكلمة 'أزريت'
السؤال: ما معنى كلمة 'أزريت'?
الخيارات:
أ) لم أستطع
ب) أنجزت
ج) بقوة
د) تركت",أ
أزوغ,التزويغ يمعنى : الهروب من العمل سكاتي أزوغ بمعنى أبزوط أو أفقع من الدوام.,Western,"المهمة: اختر المعنى الصحيح لكلمة 'أزوغ'.
السؤال: ما هو المعنى الأقرب لكلمة 'أزوغ'؟
الخيارات:
أ) الهروب من العمل
ب) العمل بجد
ج) الالتزام بالمواعيد
د) التركيز على الدراسة",أ
أستقيف,كلمة بمعنى اغرب عن وجهي، و أحيانا تستخدم لرفض طلب أحدهم,Western,"المهمة: تحديد معنى الكلمة.
السؤال: ما هو المعنى الصحيح لكلمة 'أستقيف'؟
الخيارات:
أ) اغرب عن وجهي
ب) تعال هنا
ج) ساعدني
د) استرخ قليلاً",أ
مفهي,هي حالة من السرحان المفرط,General,"المهمة: حدد المعنى الصحيح لكلمة 'مفهي'.
السؤال: ما هو المعنى الصحيح لكلمة 'مفهي'؟
الخيارات:
أ) حالة من السرحان المفرط
ب) حالة من التركيز الشديد
ج) حالة من الفرح
د) حالة من الغضب",أ
أستناك,تعني أنتظرك,Central,"المهمة: حدد المعنى الصحيح لكلمة 'أستناك'.
السؤال: ما هو المعنى الصحيح لكلمة 'أستناك'؟
الخيارات:
أ) أنتظرك
ب) أستطيع أن أراك
ج) لقد جئت
د) أنت معي",أ
أسفهه,أي تجاهله.,Central,"المهمة: حدد المعنى الصحيح لكلمة 'أسفهه'.
السؤال: ما معنى كلمة 'أسفهه'؟
الخيارات:
أ) اعتذر
ب) تجاهله
ج) أدرك
د) أهان",ب
أسْلَتْ,تطلق على من يتساقط سرواله بشكل مستمر نظراً لعدم ارتدائه للحزام أو لصغر خصره مقارنة بالسروال الذي يرتديه وغالبا ما تطلق على الاطفال دون الرابعة.,Western,"المهمة: حدد المعنى الصحيح لكلمة 'أسْلَتْ'.
السؤال: ما معنى كلمة 'أسْلَتْ'؟
الخيارات:
أ) العداء
ب) تساقط السروال
ج) اللعب بالكرة
د) السرعة",ب
أشقح,بمعنى : قفز شيء معين وعدم وضع الرجل عليه.,Western,"المهمة: حدد المعنى الصحيح لكلمة 'أشقح'.
السؤال: ما هو المعنى الدقيق لكلمة 'أشقح'؟
الخيارات:
أ) السقوط المفاجئ
ب) القفز بعيداً
ج) السير ببطء
د) الجلوس",ب
أشقله,تعني ارفعه وقد تعني الرفع بقوة وسرعة أو بمعنى الرفع عموما و تنطق القاف بنطق أهل نجد المعروف.,Central,"المهمة: اختر المعنى الصحيح لكلمة 'أشقله'.
السؤال: ماذا تعني كلمة 'أشقله'؟
الخيارات:
أ) ارفع العربة بقوة
ب) اجلس عليها
ج) اشترِ عربة جديدة
د) اتركها",أ
أشكل,لم يلقي له بالاً - طنش,General,"المهمة: حدد المعنى الصحيح لكلمة 'أشكل'.
السؤال: ما معنى كلمة 'أشكل' في اللهجة السعودية؟
الخيارات:
أ) اهتم
ب) طنش
ج) أبدع
د) تواصل",ب
أصحى,تعني انتبة او احذر,Western,"المهمة: اختيار المعنى الصحيح لكلمة 'أصحى'.
السؤال: ما هو معنى كلمة 'أصحى'؟
الخيارات:
أ) انتبه
ب) اذهب
ج) اجلس
د) نام",أ
أطائيط,"تعني الأطفال أو الصغار . وتقال ""أطوطه"" للفتاه المملوحه و ال cute .",General,"المهمة: حدد معنى كلمة 'أطائيط'.
السؤال: ماذا تعني كلمة 'أطائيط'؟
الخيارات:
أ) الطيور الصغيرة
ب) الأطفال أو الصغار
ج) الأزهار الملونة
د) الألعاب النارية",ب
أطخم,أطخم = حلو,Western,"المهمة: حدد المعنى الصحيح لكلمة 'أطخم'.
السؤال: ما هو المعنى الصحيح لكلمة 'أطخم'؟
الخيارات:
أ) جميل
ب) حلو
ج) قبيح
د) عادي",ب
أمّا,كلمة تستخدم للتعجب ، بمعنى غير معقول؟ أو لا أصدق.,General,"المهمة: حدد المعنى الدقيق لكلمة 'أمّا' في الجملة التالية.
السؤال: ما معنى كلمة 'أمّا'؟
الخيارات:
أ) تعبر عن الاستغراب
ب) تعبر عن الاستسلام
ج) تعبر عن الفرح
د) تعبر عن الحزن",أ
أفرك,بمعنى : إهرب أو الهروب بسرعة قبل حدوث مصيبة .,Western,"المهمة: اختر المعنى الصحيح لكلمة 'أفرك'.
السؤال: ما معنى كلمة 'أفرك'؟
الخيارات:
أ) ابتعد بسرعة
ب) اجلس بهدوء
ج) ضع شيئًا
د) اذهب إلى النوم",أ
أفعص,يهرس او يحطم الشئ دهساً عليه.,Western,"المهمة: حدد المعنى الصحيح للكلمة 'أفعص'.
السؤال: ما هو المعنى الصحيح لكلمة 'أفعص'؟
الخيارات:
أ) يهرس أو يحطم الشيء دهساً عليه
ب) يحفظ الشيء ببطء
ج) ينقض على الشيء بخفة
د) يضيء الشيء",أ
زودها,بالغ أو تجاوز الحد,General,"المهمة: حدد المعنى الصحيح لكلمة 'زودها'.
السؤال: ما هو المعنى الذي تعبر عنه كلمة 'زودها'؟
الخيارات:
أ) اعتذر
ب) بالغ
ج) ساعد
د) تجاهل",ب
أقدع,أقدع بمعنى أحذف,Western,"المهمة: حدد المعنى الصحيح لكلمة 'أقدع'.
السؤال: ما معنى كلمة 'أقدع' بحسب الاستخدام في اللهجة الحجازية؟
الخيارات:
أ) أترك
ب) أحذف
ج) أضرب
د) أنشر",ب
أقيّس,أقيّس بمعنى أظن أو أعتقد,Western,"المهمة: اختر المعنى الصحيح لكلمة 'أقيّس'.
السؤال: ما هو المعنى الصحيح لكلمة 'أقيّس'?
الخيارات:
أ) أظن أو أعتقد
ب) أستطيع أو أستطيع أن
ج) أرى أو أشاهد
د) أقول أو أخبر",أ
أَكُد,نقولها لما نطلب من احد إنو يمشط لنا شعرنا أو نمشط شعرنا و هكذا,Western,"المهمة: تحديد المعنى الصحيح لكلمة 'أكُد'.
السؤال: ماذا تعني كلمة 'أكُد'؟
الخيارات:
أ) نفعل شيئاً بسرعة
ب) نطلب تسريح الشعر
ج) نحب الطعام
د) نذهب إلى السوق",ب
أكفتو,- بمعنى أدٍخل، أدٍخل بسرعة وبخفة,Western,"المهمة: اختر المعنى الصحيح لكلمة 'أكفتو'.
السؤال: ما معنى كلمة 'أكفتو'؟
الخيارات:
أ) ادٍخل بسرعة وبخفة
ب) اجلس بهدوء
ج) اركض بعيداً
د) تحدث بصوت منخفض",أ
ألزخك,هي كلمة بمعنى ( أضربك ) لكنها تقال حين تكون الضربة خارجة من القلب فيستجمع قواه ويقول ( ألزخك ) الفعل منها ( يلزخ - لزخ - إلزخه ).,Central,"المهمة: حدد المعنى الصحيح لكلمة 'ألزخك'.
السؤال: ماذا تعني كلمة 'ألزخك'؟
الخيارات:
أ) أضربك بقوة
ب) أحتفظ بك
ج) أحتفل بك
د) أساعدك",أ
أمبا,"في اللهجة القطيفية يعني ""أريد""",Eastern,"المهمة: حدد المعنى الصحيح لكلمة 'أمبا'.
السؤال: ماذا تعني كلمة 'أمبا' في اللهجة القطيفية؟
الخيارات:
أ) أريد
ب) أذهب
ج) أعرف
د) أعيش",أ
أنبوبة,المصطلح المتعارف عليه لدى أهل الحجاز لأسطوانة غاز الطبخ. أيضا يقال (راعي الأنبوبة) للشخص المسؤول عن الدوران في الشوارع واستبدال الأنبوبات الفارغة بأنبوبات مليئة.,Western,"المهمة: حدد المعنى الصحيح لكلمة 'أنبوبة'.
السؤال: ما هو المعنى المتعارف عليه لكلمة 'أنبوبة' في اللهجة الحجازية؟
الخيارات:
أ) وعاء للماء
ب) أسطوانة غاز الطبخ
ج) أداة موسيقية
د) نوع من الفاكهة",ب
أنْتسعِمْ,أنْتسعمْ بتسكين النون ونطق حرفي ت و س مع بعضهما. وهي بمعنى أسكت أو أصمت أو مرادف للكلمه النجديه أنفهدز وهي كلمه غالبا مآتقال عند الحآجه الملحّه للطرف الآخر أن يسكت.,Central,"المهمة: حدد المعنى الصحيح للكلمة 'أنْتسعِمْ'.
السؤال: ما هو المعنى الصحيح لكلمة 'أنْتسعِمْ'؟
الخيارات:
أ) أسكت
ب) اضحك
ج) أصرخ
د) أكتب",أ
أنثبر,أنثبر تأتي بمعنى الزم مكانك وتأتي بمعنى اسكت,Central,"المهمة: اختر المعنى الصحيح لكلمة 'أنثبر'.
السؤال: ما معنى كلمة 'أنثبر'؟
الخيارات:
أ) اذهب بعيداً
ب) الزم مكانك
ج) تحدث بصوت عالٍ
د) اتجه للجهة اليمنى",ب
أندُر,"فعل أمر بمعنى (اخرج). والماضي منه ""ندر""",Southern,"المهمة: حدد المعنى الصحيح لكلمة 'أندُر'.
السؤال: ما هو المعنى الدقيق لكلمة 'أندُر'؟
الخيارات:
أ) فعل أمر بمعنى (اخرج)
ب) فعل أمر بمعنى (أدخل)
ج) فعل أمر بمعنى (اجلس)
د) فعل أمر بمعنى (انتظر)",أ
أَندُري,أَندُري او أندر ( بفتح الالف وشد الدال ) معناها أنزل/ي او ايضاً اخرج/ي,Western,"المهمة: حدد المعنى الصحيح لكلمة 'أَندُري'.
السؤال: ما معنى كلمة 'أَندُري'؟
الخيارات:
أ) أخرج
ب) ادخل
ج) أوقف
د) اترك",أ
أنصلق,انْصٓلٓقْ كلمة نجدية تعني انسكب وتستخدم للتعبير عن انسكاب السوائل غالباً الماء,Central,"المهمة: حدد المعنى الصحيح لكلمة 'أنصلق'.
السؤال: ماذا تعني كلمة 'أنصلق' في اللهجة النجدية؟
الخيارات:
أ) انتقل بسرعة
ب) انسكب
ج) تجمع
د) أغلق",ب
أنغرف,أنغرف > بمعنى اذهب او انقلع,General,"المهمة: حدد المعنى الصحيح لكلمة 'أنغرف'.
السؤال: ما معنى كلمة 'أنغرف'؟
الخيارات:
أ) اذهب أو انقلع
ب) تعال هنا
ج) استرح قليلاً
د) اتصل بي",أ
أنفهدز,تستعمل لأمر شخصا ما بالتراجع للخلف وحرف الدال والزاي بديل لحرف القاف بالاساس اي ( انفهق ) وانفهق مشتقه من الفهقه اي التأجيل او التأخير ومنها ايضا الامر ( افهق او افهقها ) اي اعد او اعدها للخلف .,Central,"المهمة: اختر المعنى الصحيح لكلمة 'أنفهدز'.
السؤال: ما معنى كلمة 'أنفهدز'؟
الخيارات:
أ) ارجع للخلف
ب) تقدم للأمام
ج) اخرج للنزهة
د) اتصل بالهاتف",أ
أنقُز,أنقز للذكر بمعنى : أقفز . أنقزي للأنثى بمعنى : أقفزي .,Western,"المهمة: اختر المعنى الصحيح لكلمة 'أنقُز'.
السؤال: ما معنى كلمة 'أنقُز'؟
الخيارات:
أ) أقفز
ب) اركض
ج) تمشى
د) انزلق",أ
أَنكَتِم,كف عن الكلام,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'أَنكَتِم'.
السؤال: ما هو المعنى الصحيح لكلمة 'أَنكَتِم'؟
الخيارات:
أ) كف عن الكلام
ب) ابدأ بالتحدث
ج) توقف عن الأكل
د) اجلس بهدوء",أ
أنهج,تعني اسرع او استعجل . الزوج يقول لزوجتة انهجي علي خل نروح بدري ) وتستعمل غالبا في منطقة سدير والقصيم,Northern,"المهمة: حدد المعنى الصحيح لكلمة 'أنهج'.
السؤال: ماذا تعني كلمة 'أنهج'؟
الخيارات:
أ) تخيل
ب) اسرع أو استعجل
ج) تباطؤ
د) ساعد",ب
أوخّو,نام (للاطفال),Western,"المهمة: حدد المعنى الصحيح لكلمة 'أوخّو'.
السؤال: ما هو المعنى الدقيق لكلمة 'أوخّو'؟
الخيارات:
أ) قف
ب) اخرج
ج) نام
د) أكل",ج
مبزره,تقال عند تصرف اي شخصاً كان متصرفا تصرف صغار,Western,"المهمة: اختر المعنى الصحيح لكلمة 'مبزره'.
السؤال: ما هو المعنى المقصود بكلمة 'مبزره' في اللهجة الحجازية؟
الخيارات:
أ) تصرف ملكي
ب) تصرف طبيعي
ج) تصرف صغار
د) تصرف حكيم",ج
أولاه,"أولاه! مصطلح يعني ""أرجوك""",Central,"المهمة: حدد المعنى الصحيح لكلمة 'أولاه'.
السؤال: ماذا يعني مصطلح 'أولاه'؟
الخيارات:
أ) أرجوك
ب) شكرًا
ج) سمعًا وطاعة
د) رحبًا",أ
أي ساد,هي كلمه تعني لآمشكله لدي في ذللك و تستخدم في التهديد أو القبول ل شيء وهي كلمه حساويه,Eastern,"المهمة: حدد المعنى الصحيح لكلمة 'أي ساد'.
السؤال: ما معنى كلمة 'أي ساد'؟
الخيارات:
أ) تعني مشكلة كبيرة
ب) تعني لا مشكلة لدي
ج) تعني أحتاج إلى مساعدة
د) تعني أرفض الطلب",ب
أيوا (أيوه),"أيوا (أيواه) تستخدم بكثرة في اللهجات الدارجة. وتتكون من شقين الأول ""أي"" و معناها ""بمعنى"" وتستخدم للتفسير عن شيء وإذا جائت بالكسر ""إي"" عادة تلحق بالحلف والقسم مثل ""إي والله"". الشق الثاني ""واه"" وهو من أسماء الأفعال ويعني ""أتعجب"". جمعت الكلمين في كلمة عن طريق ما يسمى النحت فصارت أيواه أو أيوا. نلاحظ ان الهاء تحذف في أوقات كثيرة للتخفيف. أيوا تأتي في معاني متعددة مثل أتعجب أو بمعنى نعم والموافقة.",Western,"المهمة: حدد المعنى الصحيح لكلمة 'أيوا'.
السؤال: ما هو المعنى الأساسي لكلمة 'أيوا'؟
الخيارات:
أ) تعبير عن الاستغراب
ب) تعبير عن الموافقة
ج) لا شيء مما سبق
د) تعبير عن الحزن",ب
مُبّطِي,مبطي تعني منذ زمن ( من زمان ),Central,"المهمة: حدد المعنى الصحيح لكلمة 'مُبّطِي'.
السؤال: ماذا تعني كلمة 'مُبّطِي'؟
الخيارات:
أ) من الآن
ب) منذ زمن
ج) في المستقبل
د) حالاً",ب
إحلته,كلمة نجدية تعني ارمِه أو ألقه,Central,"المهمة: حدد المعنى الصحيح لكلمة 'إحلته'.
السؤال: ما هو المعنى الدقيق لكلمة 'إحلته' حسب اللهجة النجدية؟
الخيارات:
أ) ارمِه أو ألقه
ب) احفظه
ج) اجمعه
د) انشره",أ
إرتكز,تعني أقعد ، و تستخدم هذه الكلمة بين العائلات المكاوية عادة,Western,"المهمة: حدد المعنى الصحيح لكلمة 'إرتكز'.
السؤال: ماذا تعني كلمة 'إرتكز'؟
الخيارات:
أ) يعني أقعد
ب) يعني جري
ج) يعني احضر
د) يعني اترك",أ
إركد,يعني اذا كان الشخص يدور ولا يجلس يقولون اركد اي اجلس او لاتتحرك كثيرا,General,"المهمة: اختر المعنى الصحيح لكلمة 'إركد'.
السؤال: ماذا تعني كلمة 'إركد' في اللهجة السعودية؟
الخيارات:
أ) اجلس ولا تتحرك كثيراً
ب) اذهب بعيداً
ج) اجري بسرعة
د) تكلم بصوت عالٍ",أ
إزحط,ازحط بمعنى افسح لي وهي تستخدم في قبائل جهينة الموجوده في شمال السعوديه من جهة الغرب,Northern,"المهمة: حدد المعنى الصحيح لكلمة 'إزحط'.
السؤال: ما هو المعنى الصحيح لكلمة 'إزحط'؟
الخيارات:
أ) امسك لي
ب) افسح لي
ج) امشي لي
د) اسكت لي",ب
