Term,Meaning_of_term,Dialect type,Fill_in_Blank_question,correct_answer
خاوره عليك,تقولها الانثى اذا تضايقت وتعني زعلانه منك,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: لا تتصل فيها الحين، ترى معصبة __________ من أمس ما كلمتها.
الخيارات:
أ) خاوره عليك
ب) تعمل
ج) فرحانة فيك
د) تطبخ الغدا",أ
اندر بره,اخرج,Western,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: لما كثر الإزعاج قال صاحب المكان ___ .
الخيارات:
أ) تفضل
ب) اندر بره
ج) مرحبًا
د) شكرًا",ب
أديلو جنط,يعني اسحب على ابو شكلو طنش,Western,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: إذا لم يرد علي، سأقول له 'أديلو _____'.
الخيارات:
أ) مواصلات
ب) جنط
ج) مساعدة
د) لقاء
الإجابة الصحيحة:",
ما عليك زود,معناها ما تقصر او لا زيادة عليك,General,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: شخص قال والنعم، ترد عليه ___ .
الخيارات:
أ) الله يعوضك
ب) ما عليك زود
ج) اندر بره
د) اسفر الصبح",ب
يا بعد حيي,يعني يا بعد روحي وحياتي، تعبير عن المحبة الشديدة والتودد,Central,"المهمة: أكمل الجملة بالعبارة الصحيحة.
السؤال: يوم شفته جاي من السفر، حضنته وقلت له: __________
الخيارات:
أ) يا بعد حيي
ب) تأخرت
ج) أذهب
د) من أنت",أ
أرهيت بالقطيعة,كدت أن أفقد الأمل,Western,"### نوع السؤال: املأ الفراغ 
- المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
- السؤال: عندما ضاعت فلوسي، بالقطيعة. 
- الخيارات: 
 A) شعرت 
 B) أرهيت 
 C) فكرت 
 D) قررت 
-",B
أصفر العرقوب,الأعجمي الذي يعيش بين العرب ولا ينتمي إلى قبيلة.,Central,"المهمة: عُبِّئ الفراغ بما يناسبه.
السؤال: الشخص الذي يُطلق عليه 'أصفر العرقوب' هو ______ يعيش بين العرب.
الخيارات:
أ) الأعجمي
ب) البدوي
ج) العسكري
د) المتعلم",أ
 زبد له,التزبيد هو قول الحقيقة الجافة بكل وضوح في الوجه بلا تلميح وتغليف,General,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: لما شاف الوضع ما يحتمل المجاملة، ___ وقال الحقيقة مباشرة.
الخيارات:
أ) دار الكلام
ب) زبد له
ج) اعتذر
د) جامل",ب
أقطع وأخس,أخرس,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا قال شخصٌ آخر 'أقطع وأخس'، فهذا يعني أنه __________.
الخيارات:
أ) يتكلم كثيرًا
ب) لا يتكلم
ج) يتحدث بلطف
د) يفكر مليًا",ب
امتحتني ياخي,ازعجتني ياخي,Central,"المهمة: أكمل الجملة باستخدام الكلمة الصحيحة.
السؤال: أقول لأصدقائي: '______ ياخي' عندما يزعجوني.
الخيارات:
أ) امتحتني
ب) احترموني
ج) ساعدوني
د) آذوني",أ
يفدع به,يعني يضربه بقوة,"  
         
Northern","المهمة: اكمل الفراغ بالكلمة المناسبة.
السؤال: غضب الولد على زميله وراح __________ قدام الناس.
الخيارات:
أ) يسامحه
ب) يضحك له
ج) يفدع به
د) يشكره",ج
أمّا عاد,تستخدم للإنبهات أو التعجّب! أو إذا كان الكلام مشكوك به. يقال (أمّا عااد) لإظهار الشعور بالريبة.,General,"المهمة: اختر الجواب الصحيح. 
السؤال: عندما قال أحمد إنه سافر مشيًا إلى جدة، ردت أسماء بقولها ""أمّا !"" 
الخيارات: 
A) جيد 
B) عاد 
C) لماذا 
D) مع السلامة",B
خِرِّي مِرِّي,بمعنى ذاهب وعائد وتطلق على من كثرت تحركاته وانتقالاته.,Western,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة.
السؤال: واحدة من العبارات التي يمكن استخدامها مع ""خِرِّي مِرِّي"" هي: ""هو دايمًا "".
الخيارات:
A) ينام 
B) خري مري 
C) يأكل 
D) يدرس",B
أنت كرتون,أي لا يفقه شيئا,Central,"المهمة: املأ الفراغ بما يناسبه.
السؤال: عند التحدث مع صديقي الذي لا يفهم، أقول له: 'يا ______'.
الخيارات:
أ) نجم
ب) كرتون
ج) بطل
د) عالم",ب
أهل البعر البعرره,البعر تكثر هذه الكلمة في لهجة قبيلة شمر في حفر الباطن وحائل,Northern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: تستخدم عبارة 'أهل البعر البعرره' في _____ و _____.
الخيارات:
أ) القصيم، الرياض
ب) حفر الباطن، حائل
ج) نجران، المدينة المنورة
د) جدة، الدمام",ب
تسلك لي,يعلمك انه معك وهو غير ذالك,General,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة لملء الفراغ.
السؤال: كلمة ""تسلك لي"" تشير إلى .
الخيارات: 
A) تجاهلك 
B) الحضور 
C) المعرفة الزائفة 
D) الضيافة",C
إرسى لك على بر,تعني أعطيننا رأيك بكل وضوح. أو القول الفصل,General,"المهمة: اكتب الكلمة المناسبة في الفراغ.
السؤال: عندما تريد من شخص ما أن يقدم رأيه بصورة واضحة، يمكنك أن تقول له: '________ لك على بر'.
الخيارات:
أ) اروح
ب) إرسى
ج) أقول
د) اسمع",ب
إرفع بريك,أي : طنشهم وعيش حياتك,General,"المهمة: اكمل الفراغ باستخدام الكلمة المناسبة.
السؤال: إذا شعرت بالتوتر، يمكنك أن تقول 'إرفَع _____ وعيش حياتك'.
الخيارات:
أ) بريك
ب) حذر
ج) عمل
د) قلق",أ
وراك لعبت وما انتظرتن,لماذا لعبتَ وما انتظرتني,Central,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: لما شافه بدأ اللعب لحاله قال له: ___ ؟
الخيارات:
أ) ما عليك زود
ب) وراك لعبت وما انتظرتن
ج) أسفر الصبح
د) اندر بره",ب
بفقع وجهك,كلمه سعوديه تستخدم لتحذير الشخص من لكمة قادمه,General,"المهمة: أكمل العبارة التالية.
السؤال: عندما يشعر الشخص بالانزعاج، قد يقول 'بفقع _______'.
الخيارات:
أ) نفسي
ب) وجهك
ج) قلبي
د) رأسي
الإجابة الصحيحة:",
إشبوا دا,إشْبو دا هي جملتين إشبو = مابه دا = هذا العباره بالفصحى . مآخطبه,Western,"المهمة: أكمل الجملة بما يناسب.
السؤال: عبارة 'إشبوا دا' تعبر عن __________.
الخيارات:
أ) المكان
ب) الحالة
ج) الاستعمار
د) الوصول",ب
ذئب امعط,تطلق علي الشاب النشيط الشجاع المنجز لما يوكل له,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يستخدم مصطلح 'ذئب امعط' لوصف __________.
الخيارات:
أ) الشاب الكسول
ب) الشاب النشيط الشجاع
ج) الشاب الضعيف
د) الشاب المتردد",ب
الله يتزديلك بشويفك,دعاء طلباً للحفاظ على نعمة البصر وغالباً يقال لكبار السن مع ضعف حاسة البصر عندهم,Northern,"### نوع السؤال: املأ الفراغ
- المهمة: اختر الكلمة المناسبة لملء الفراغ في الجملة.
- السؤال: عندما أرى جدي ضعيف البصر، أقول له: "" يتزديلك بشويفك يا جدي"".
- الخيارات: 
 A) الله 
 B) أنا 
 C) هم 
 D) نحن 
-",A
أكد شعري,أمشط شعري,Western,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: قبل ما يطلع، وقف عند المرآة وقال باللهجه الحجازية: خلني ___ شوي.
الخيارات:
أ) أكتب
ب) أكد شعري
ج) أطبخ
د) أنام",ب
العن سنسفيلك,اهزأك,Western,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: لما بالغ في الكلام، قال له صاحبه ___ على سبيل المزاح.
الخيارات:
أ) ما عليك زود
ب) العن سنسفيلك
ج) أسفر الصبح
د) كوده",ب
ابن كلب,صفة بمعنى رائع أو غير معتاد.,Central,"المهمة: أكمل الجملة باستخدام العبارة 'ابن كلب'.
السؤال: أحب تلك السيارة لأنها __________.
الخيارات:
أ) قبيحة.
ب) ابن كلب.
ج) بسيطة.
د) غالية.",ب
ابو راس,الشخص الي اكبر مافيه راسه,Central,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: يعتبر 'أبو راس' لقب يُطلق على ____ في اللهجة السعودية.
الخيارات:
أ) الكبار في السن
ب) القائد
ج) الصغار
د) الأصدقاء",أ
ابو كلب,تطلق على الشيئ الرديء او الشيء السيء,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: تستخدم عبارة 'ابو كلب' لوصف ___.
الخيارات:
أ) شيئ جميل
ب) شيئ فاخر
ج) شيئ رديء
د) شيئ عادي",ج
اَبُوكِيه,تستخدم كرد استهزائي ازدرائي لمن لا يعجبك حديثه او لمن كان كلامه سفيهاً واحياناً لمن كان واثقاً زيادةً عن اللزوم,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إحدى العبارات التي يستخدمها الناس في السعوديه مثل 'اَبُوكِيه' تشير إلى ___.
الخيارات:
أ) إعجاب
ب) استهزاء
ج) احترام
د) تفاؤل",ب
اخصرك منه,اخصرك منه بمعنى لا تعره اهتماام او لا تتوجه بالحديث اليه,Western,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: عندما أقول 'اخصرك منه' يعني ___.
الخيارات:
أ) أهتم به.
ب) لا أهتم به.
ج) أتحدث إليه.
د) أتركه.",ب
ادقك جمع,اضربك بكوعي,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أقول 'محمد اسكت لا _____ جمع'، ماذا تعني الكلمة المفقودة؟
الخيارات:
أ) أدخلك
ب) أدقك
ج) أضربك
د) أشتري لك",ب
ارفع علومك,بمعنى استرجل او اجمد كذا,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما يقول أحدهم 'ارفع علومك'، يعني ذلك أنه يريدك أن ______.
الخيارات:
أ) تصبح أذكى
ب) تكون أكثر حذراً
ج) تركز على العمل
د) تحافظ على صحتك",أ
احتزم بي,احتزم بي ، مِحْزمِي. يقصد به الحزام الذي يعلّق به الرصاص والفرد والجنبية واحيانًا السيف ويقصد بها اعتمد علي واعتبرني احد اسلحتك ، تستخدم للتعبير عن شدة التعاضد والاخوة والجاهزية لخوض الحروب لاجلك .,General,"### نوع السؤال: املأ الفراغ
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: العبارة ""احتزم بي"" تستخدم للتعبير عن و . 
الخيارات: 
A) التعاون - الشجاعة 
B) الخيانة - الضعف 
C) السخرية - الانسحاب 
D) التردد - الانتظار",A
ابو فَرْوَة,ثمار شجرة الكستناء، تشوى ويأكل لبها. سميت أبو فروة بسبب الملمس النسيجبي الداخلي لقشرة الثمرة.,Central,"### نوع السؤال: املأ الفراغ
- المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية.
- السؤال: يعتبر أكل أبو فروة من أحلى عادات .
- الخيارات:
 A) الربيع 
 B) الصيف 
 C) الشتاء 
 D) الخريف 
-",C
ازحف وراك,يعني اذلف هناك يعني ابتعد قليلاً لكي اجلس يعني يعطيه مساحه بجنبه شوي عشان يجلس الاخ اللي يقول له ازحف ترا ازحف مثل اذلف مثل ماكنت اذلف تكون ازحف,General,"المهمة: املأ الفراغ في الجملة التالية.
السؤال: إذا قلت لشخص 'ازحف وراك'، فأنا أعني أن _____.
الخيارات:
أ) يجب أن يبتعد
ب) يجب أن يقرب
ج) يجب أن يجلس
د) يجب أن يذهب",أ
أمّا عاد,تستخدم للإنبهات أو التعجّب! أو إذا كان الكلام مشكوك به. يقال (أمّا عااد) لإظهار الشعور بالريبة.,General,"### نوع السؤال: املأ الفراغ 
المهمة: اختَر الإجابة الصحيحة. 
السؤال: إذا أخبرك أحدهم خبرًا غريبًا، يمكن أن تقول له: "" عاد!"" 
الخيارات: 
A) أحببت 
B) أمّا 
C) فعلت 
D) رأيت",B
من انتوا ترجعون له,تعني ما مرجع ونسب قبيلتكم,General,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: في مجلس الرجال، سألهم الشيخ: ___ ؟
الخيارات:
أ) وين تروحون
ب) من انتوا ترجعون له
ج) أسفر الصبح
د) ما عليكم زود",ب
اش بك يواد,ماذا بك ايها الفتى,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عبارة 'اش بك يواد' تستخدم للسؤال عن __________.
الخيارات:
أ) المال
ب) الصحة
ج) الحالة
د) الوقت",ب
اش قومك,معناها باختصار وش فيك,General,"### نوع السؤال: املأ الفراغ 
- المهمة: اختر الإجابة الصحيحة فقط دون أية ملاحظات. 
- السؤال: ""اش قومك"" تعني . 
- الخيارات: 
 A) لماذا أنت غاضب؟ 
 B) ماذا بك؟ 
 C) ماذا تفعل؟ 
 D) كيف يمكنني مساعدتك؟ 
-",B
أتوطى ببطنك,الوطا: اي وضع القدم على شي فلما يقولون يتوطى ببطنك : اي اضع رجلي في بطنك وهي اشاره الى الحقد والطقاق والتهيؤ إلى العنف,Western,"### نوع السؤال: املأ الفراغ 
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: الجملة ""عندما يقول أحدهم فإنه يشير إلى الحقد."" 
الخيارات: 
A) أتوطى ببطنك 
B) أشكرك 
C) أتمنى لك التوفيق 
D) أحتاج مساعدتك",A
اشبك البلا فشكلك,ماذا بك اصابك البلاء,Western,"المهمة: أكمل التعبير بالنص المناسب.
السؤال: التعبير يعني ____.
الخيارات:
أ) لديك مشكلة
ب) لديك جمال
ج) أنت محظوظ
د) الهواء نقي",أ
راس البلا,راس البلا : يعني هو أساس المشكلة والمصيبة والسبب فيها .,General,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: إذا حدثت مشكلة وكان السبب فيها شخص معين، يمكننا أن نقول إنه _____ .
الخيارات:
أ) راس البلا
ب) الجسر
ج) الفكرة
د) اللقاء",أ
اشبمك يواد,ماذا بك ايها الفتي,Western,"المهمة: أكمل الجملة التالية بالعبارة المناسبة: 'إذا رأيت أحداً غاضبًا يمكنك أن تسأله: ___'.
السؤال: أكمل الجملة:
الخيارات:
أ) كيف حالك
ب) اشبمك يواد
ج) أين تذهب
د) ما اسمك",ب
اصطبو دمك,الدعاء بأن الجن يسكبون دمك,Central,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: يستخدم الناس عبارة ""اصطبو دمك"" في سياق . 
الخيارات: 
A) الدعاء 
B) الفرح 
C) العمل 
D) الرياضة",A
اطبع الباب,أغلق الباب بالمفتاح، يقولها أهل ينبع البلد ينبع البحر,Western,"المهمة: أكمل الجملة التالية بالعبارة المناسبة.
السؤال: عندما أقول 'اطبع الباب'، فأنا أعني أن ____.
الخيارات:
أ) يجب أن أغلق الباب
ب) يجب أن أفتح الباب
ج) يجب أن أضع يدي على الباب
د) يجب أن أطرق الباب",أ
أبو كلبي,أبو كلبي يعني سيء,General,"### نوع السؤال: املأ الفراغ
- المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.
- السؤال: الجملة ""هذا الجوال "" يمكن أن تُكمل بعبارة ""أبو كلبي"" ليدل على أن الجوال إذا كان: 
- الخيارات:
 A) جيد 
 B) ممتاز 
 C) سيئ 
 D) عادي 
-",C
اطلع من مخي,هذا ليس الوقت المناسب لك.,General,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: عندما أقول لك 'اطلع من مخي'، فإنني أعني أن...
الخيارات:
أ) أنت تفرحني.
ب) هذا ليس الوقت المناسب لك.
ج) أنا أحب صحبتك.
د) اذهب للمنزل.",ب
صرف السالفة, لما تحاول تغيير الموضوع او مشيها,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أقول 'اعملك شاي'، فإنني __________.
الخيارات:
أ) أشعر بالخوف
ب) أدعو أصدقائي للشرب
ج) أريد الذهاب إلى السوق
د) أستعد للاحتفال",أ
اقدح من راسك,لا تألف من راسك,General,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: يمكن استخدام العبارة ""اقدح من راسك"" عند أفكار جديدة. 
الخيارات: 
A) التفكير في 
B) الاعتماد على 
C) مراجعة 
D) استذكار",A
كبر براطمها,تعني ان شفايفها كبيرة جدا.,General,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: شفت صورتها وانصدمت وقالت البنت: __________ يا الله وش ذا!
الخيارات:
أ) كبر براطمها
ب) وش اسمها
ج) صوتها ناعم
د) هي من وين",أ
اقطع و اخس,"هذه العبارة ترادف تماماً كلمة ""اصمت!""",General,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: عندما أراد فهد أن يسكت صديقه، قال له: __________.
الخيارات:
أ) كيف حالك؟
ب) اقطع واخس
ج) ما رأيك؟
د) اتبعني!",ب
ياخي قروشتني,"يعني ياخي ازعجتني , وترتني ",Western,"المهمة: أكمل الجملة بالعبارة المناسبة
السؤال: كل شوي تسألني نفس السؤال، __________!
الخيارات:
أ) ياخي قروشتني
ب) الله يسعدك
ج) وش تبي
د) عطيني فرصة",أ
أبو جلمبو,"هو نوع من انواع الفواصل بالبحر ويسمى ""السرطان""",Western,"### نوع السؤال: املأ الفراغ 
المهمة: اختر الإجابة الصحيحة. 
السؤال: نوع من أنواع الفواصل في البحر يسمى """". 
الخيارات: 
A) أبو الجلمبو 
B) سمك القرش 
C) المحار 
D) حوت",A
السيف الأملح,هو سيف حاد للغاية يستخدم في القصاص,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: 'السيف الأملح' يُستخدم عادة في ________.
الخيارات:
أ) الحروب
ب) القصاص
ج) الزينة
د) الرياضة",ب
الشحوم ترطرط,تقال وصف للشخص السمين والمليان بالشحم واللحم,General,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: العبارة 'الشحوم ترطرط' تستخدم لوصف شخص ____.
الخيارات:
أ) نحيف
ب) سمين
ج) متوسط الوزن
د) رياضي",ب
الصحن اللي تكررت عليه الملاعق اتركه وارقد جوعان,مثل يقال عندما يفوتك الحصاد وتريد ان تترفع عنه بكرامة,General,"المهمة: أكمل العبارة التالية.
السؤال: تُقال عبارة 'الصحن اللي تكررت عليه الملاعق اتركه وارقد _____' للإشارة إلى...
الخيارات:
أ) جائع
ب) مسرور
ج) شبعان
د) غاضب",أ
العازه لزازه,بمعنى اذا احتجتني بتضطر انك تجي,Western,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: ""العازه لزازه"" تعني . 
الخيارات: 
A) إذا احتجتني بتضطر انك تجي 
B) إذا لم أستطع مساعدتك 
C) إذا كنت مشغولاً 
D) إذا كان لديك وقت) إذا احتجتني بتضطر انك تجي",A
الفقعسي والله,مسموعة في الزلفي وتعني استحالة تحقيق أمرك ومطلبك أو الشأن الذي يخاض به.,Central,"المهمة: أكمل الفراغ بما يناسبه.
السؤال: إذا قال شخص 'الفقعسي والله'، فإنه يعني أن تحقيق ________ صعب.
الخيارات:
أ) أهدافك
ب) حلمك
ج) مطلبك
د) أي شيء",ج
وش موزيك, باللهجة الحايليه معناها من الذي أمرك,Northern,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: لما سواه بدون اتفاق، قال له: ___؟
الخيارات:
أ) ما عليك زود
ب) وش موزيك
ج) أسفر الصبح
د) اندر بره",ب
أنت القعدة,تعني اخر العنقود من الذكور.,Central,"المهمة: أكمل الجملة التالية.
السؤال: عبارة 'أنت القعدة' تعني ______ من الذكور.
الخيارات:
أ) الأول
ب) الاخير
ج) الوسط
د) الأكبر",ب
على طبطابي,يعني على مزاجي او على كيفي,Western,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: قال له لا أحد يجبرك، سوها ___ .
الخيارات:
أ) بالنظام
ب) على طبطابي
ج) رسميًا
د) مجاملة",ب
الكلام اللي يجمد على الشارب,العرب الأوائل كان الشنب عندهم مهم جدا لدرجة إنهم ما يقصون منه ولا شعره عكس اللحية وهذا موجود إلى فترة قريبة في شمال الجزيرة العربية وبعض الدول العربية فإذا أراد الرجل أن يؤكد كلامه وأنه مستحيل إنه يغيره قال ( الكلام اللي يجمد على الشارب ) كناية عن الثبات على القول . . لأن شعر الشنب لا يقص أبدا .,Northern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: تعني عبارة 'الكلام اللي يجمد على الشارب' أن الشخص _____ على رأيه.
الخيارات:
أ) يغير
ب) يثبت
ج) يتردد
د) يتجاهل",ب
والله منتب سهل,تقال عند الإعجاب بذكاء شخص أو دهائه، أو للتعجب من قدرته على القيام بشيء ما,General,"المهمة: أكمل الفراغ بالاختيار المناسب.
السؤال: شاف صاحبه كيف خلّص الموضوع في لحظة وقال له: __________
الخيارات:
أ) والله منتب سهل
ب) والله ما أدري
ج) عطه وجه
د) وش تبي فيه",أ
الله الله,"تعبر هذه العبارة عن موافقة القائل لما قيل قبل قليل. و يمكن تعويضها بقوله ""صدقت"" أو ""فعلاً. هذا صحيح""",General,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: عندما قال فلان 'أمطرت اليوم مطراً شديداً'، أجابه الآخر بـ '______'.
الخيارات:
أ) صحيح
ب) الله الله
ج) غير صحيح
د) لنرى",ب
الله لا يعوق بشر,تعني أي أن شاء الله تسير الأمور بخير,General,"المهمة: املأ الفراغ بما يناسب.
السؤال: عبارة 'الله لا يعوق بشر' تعني _____ الأمور تسير بخير.
الخيارات:
أ) أن
ب) لكن
ج) لذلك
د) حيث أن",أ
الله يحزنا خير,الله يحزنا خير تعني الله يوجهنا للخير,General,"### نوع السؤال: املأ الفراغ
- المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية.
- السؤال: يجب علينا أن نقول ""الله يحزنا "" كدعاء للتوجيه نحو الخير.
- الاختيارات:
 A) شر 
 B) خير 
 C) عذاب 
 D) خطيئة 
-",B
أرفعه قب,بضم القاف و تسكين الباء وتأتي هذه العبارة بمعنى اسحب عليه أو طنشه,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يستخدم الناس عبارة 'أرفعه قب' عندما يريدون أن __________ شخصًا.
الخيارات:
أ) يعتنون
ب) يطنشوا
ج) يساعدوا
د) يرحبوا",ب
الله يسبقبي,الرد على عبارة الله يطعني وتعني أنه يتمنى أن يأخذ الألم والمصيبة أولا وهي قريبة من معنى الله يجعل يومي قبل يومك,Southern,"المهمة: املأ الفراغ بالعبارة المناسبة.
السؤال: ________ تعني أن الشخص يتمنى أن يتعرض للألم قبل الآخرين.
الخيارات:
أ) الله يسبقبي
ب) الله يطعني
ج) الله يجعلك
د) الله يرزقك",أ
اللهم اجعل هذا البلد آمنا,"دعاء مأخوذ من آية في القران سورة البقرة آية ""وَإِذْ قَالَ إِبْرَاهِيمُ رَبِّ اجْعَلْ هَٰذَا بَلَدًا آمِنًا وَارْزُقْ أَهْلَهُ مِنَ الثَّمَرَاتِ"" في المناسبات الوطنية (مثل اليوم الوطني) يكرر المتدينون هذا الدعاء بدلا من التهنئة لأنهم مقتنعون أن الاحتفالات وتبادل التهاني بدعة ولا تجوز, وحتى لا يتهمون أنهم خوارج أو معارضين للدولة يقولون هذا الدعاء في تويتر والإعلام وواتساب إلخ أيضا الدعاء يستعمل كنوع من إعلان التضامن مع الدولة واستنكار الأعمال الإرهابية.",General,"المهمة: أكمل العبارة.
السؤال: _____________ يكرر المتدينون هذا الدعاء في المناسبات الوطنية.
الخيارات:
أ) يؤمنون بأن الاحتفالات بدعة
ب) لا يهتمون بالاحتفالات
ج) يريدون التعبير عن حبهم للوطن
د) يفضلون الاحتفالات التقليدية",أ
المح ذاعك,انظر الى ذلك الشخص,General,"المهمة: ملء الفراغ بالكلمة المناسبة
السؤال: _______ ذاعك يعني 'انظر إلى ذلك الشخص'.
الخيارات:
أ) المح
ب) انتبه
ج) تأمل
د) اقلب",أ
