Term,Meaning_of_term,Dialect type,Contextual_Usage_question,correct_answer
أصفر العرقوب,الأعجمي الذي يعيش بين العرب ولا ينتمي إلى قبيلة.,Central,"المهمة: اختر الجملة التي تستخدم تعبير 'أصفر العرقوب' بشكل صحيح.
السؤال: أي من الجمل التالية تعبر عن الاستخدام الصحيح لعبارة 'أصفر العرقوب'؟
الخيارات:
أ) محمد هو أصفر العرقوب، دائمًا في حالة من الانطواء.
ب) أصفر العرقوب يعمل في الزراعة.
ج) العائلة هاجرت بسبب الحرب واعتبروا أصفر العرقوب.
د) استخدمت أصفر العرقوب في الدردشة مع الأصدقاء.",أ
 زبد له,التزبيد هو قول الحقيقة الجافة بكل وضوح في الوجه بلا تلميح وتغليف,General,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (زبد له) استخدامًا صحيحًا؟
الخيارات:
أ) زبد له بالحقيقة بدون لف ولا دوران
ب) زبد له في رسالة شكر رسمية
ج) زبد له أثناء الترحيب بالضيوف
د) زبد له في إعلان تجاري",أ
أقطع وأخس,أخرس,Central,"المهمة: اختر الجملة الصحيحة التي تعكس استخدام العبارة في سياق.
السؤال: في أي سياق يُمكن أن تستخدم عبارة 'أقطع وأخس' بشكل صحيح؟
الخيارات:
أ) عندما يُقال عن شخص هادئ
ب) عندما يُقصد شخص مُزعج
ج) عندما يتعلق الامر بتوجيه الكلام
د) عندما يُشيد بشخصية أحد",أ
امتحتني ياخي,ازعجتني ياخي,Central,"المهمة: اختر السياق المناسب لاستخدام عبارة 'امتحتني ياخي'.
السؤال: في أي سياق يمكن أن نستخدم عبارة 'امتحتني ياخي'؟
الخيارات:
أ) عند الإطراء على صديق
ب) عند التعبير عن الإزعاج
ج) عند الطلب للمعونة
د) عند شكر شخص",ب
يفدع به,يعني يضربه بقوة,"  
         
Northern","المهمة: اختر الجملة التي استخدمت العبارة بشكل صحيح.
السؤال: في أي موقف من المناسب أن تقول ""يفدع به""؟
الخيارات:
أ) عندما يضرب طفل أخاه بدفعة قوية
ب) عند تقديم هدية
ج) أثناء السلام بين الأقارب
د) عندما يجلس شخص بهدوء",أ
أمّا عاد,تستخدم للإنبهات أو التعجّب! أو إذا كان الكلام مشكوك به. يقال (أمّا عااد) لإظهار الشعور بالريبة.,General,"المهمة: اختر الجملة المناسبة التي تستخدم فيها العبارة. 
السؤال: أي من هذه الجمل تعبر عن استخدام العبارة ""أمّا عاد""؟ 
الخيارات: 
A) ""فاطمة: جبت لك هدية. نورة: أمّا عاد!"" 
B) ""علي: أحب الرياضة. فهد: أمّا عاد!"" 
C) ""سارة: رأيت الفلم الجديد. مريم: أمّا عاد!"" 
D) ""يوسف: سأذهب إلى السوق. ريان: أمّا عاد!""",A
خِرِّي مِرِّي,بمعنى ذاهب وعائد وتطلق على من كثرت تحركاته وانتقالاته.,Western,"### نوع السؤال: الاستخدام السياقي
المهمة: اختر الجملة التي تناسب استخدام كلمة ""خِرِّي مِرِّي"".
السؤال: في أي من الجمل التالية تستخدم كلمة ""خِرِّي مِرِّي"" بشكل طبيعي؟
الخيارات:
A) أنت كل يوم خري مري على الدوام. 
B) هو يحب تناول الطعام. 
C) لا أحب الذهاب إلى المدرسة. 
D) هي دائمًا خري مري في البيت.",A
أنت كرتون,أي لا يفقه شيئا,Central,"المهمة: اختر السياق المناسب لاستخدام عبارة 'أنت كرتون'.
السؤال: في أي موقف يمكن أن أقول 'أنت كرتون'؟
الخيارات:
أ) أثناء مدح شخص ما
ب) عند تصحيح شخص لم يفهم شيئًا
ج) عندما أريد قبول اعتذار
د) عند إجراء محادثة رسمية",ب
أهل البعر البعرره,البعر تكثر هذه الكلمة في لهجة قبيلة شمر في حفر الباطن وحائل,Northern,"المهمة: اختر الجملة التي توضح الاستخدام الصحيح لعبارة 'أهل البعر البعرره'.
السؤال: أي من الجمل التالية تستخدم عبارة 'أهل البعر البعرره' بطريقة صحيحة؟
الخيارات:
أ) حين زرتهم أذكر 'أهل البعر البعرره' كانوا مره سعداء!
ب) أحب أن أذهب إلى السوق كل يوم
ج) هل سبق لك أن رأيت البعر في الصحراء؟
د) الناس في الرياض يحبون البعر",أ
تسلك لي,يعلمك انه معك وهو غير ذالك,General,"المهمة: اختر الخيار الذي يمثل الاستخدام الصحيح لعبارة 'تسلك لي'.
السؤال: في أي سياق يمكن استخدام عبارة 'تسلك لي'؟
الخيارات:
أ) أثناء الحديث عن مشروع
ب) عند تقديم الشكر
ج) خلال محادثة عن العلاقات
د) عند مناقشة الرياضة",ج
إرسى لك على بر,تعني أعطيننا رأيك بكل وضوح. أو القول الفصل,General,"المهمة: اختر الجملة التي استخدمت فيها العبارة بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم العبارة 'إرسى لك على بر' بشكل صحيح؟
الخيارات:
أ) كنت أريد أن أذهب للدراسة في الخارج.
ب) إرسى لك على بر بشأن قراراتنا.
ج) أحب الأكل في المطعم.
د) سأسافر إلى جدة الأسبوع القادم.",ب
إرفع بريك,أي : طنشهم وعيش حياتك,General,"المهمة: اختر الجملة التي تستخدم فيها العبارة 'إرفع بريك' بشكل صحيح.
السؤال: أي من الجمل التالية يستخدم العبارة 'إرفع بريك' بشكل مناسب؟
الخيارات:
أ) إرفع بريك لهم كلهم
ب) إرفع السيارة في المحطة
ج) إرفع الصوت في الدردشة
د) إرفع الجواز عند السفر",أ
وراك لعبت وما انتظرتن,لماذا لعبتَ وما انتظرتني,Central,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (وراك لعبت وما انتظرتن) استخدامًا صحيحًا؟
الخيارات:
أ) قال المعلم: وراك لعبت وما انتظرتن في الامتحان
ب) قال الطفل لصاحبه: وراك لعبت وما انتظرتن
ج) كُتبت العبارة في خطاب رسمي
د) استُخدمت العبارة في إعلان تجاري",ب
بفقع وجهك,كلمه سعوديه تستخدم لتحذير الشخص من لكمة قادمه,General,"المهمة: حدد السياق الذي يمكن أن تستخدم فيه عبارة 'بفقع وجهك'.
السؤال: في أي موقف يمكن أن يُستخدم التعبير 'بفقع وجهك'؟
الخيارات:
أ) عند الاحتفال بمناسبة سعيدة
ب) عند التهديد أو التحذير
ج) عند التعبير عن المشاعر
د) عند إلقاء محاضرة
الإجابة الصحيحة:",
إشبوا دا,إشْبو دا هي جملتين إشبو = مابه دا = هذا العباره بالفصحى . مآخطبه,Western,"المهمة: اختر الاستخدام الصحيح للعبارة 'إشبوا دا' في جملة.
السؤال: أي من الجمل التالية تستخدم 'إشبوا دا' بشكل صحيح؟
الخيارات:
أ) اخترنا إشبوا دا للرحلة
ب) كان الحجازيين إشبوا الاستعمار
ج) أحب إشبوا دا في صباح
د) إشبوا دا تسعفنا",ب
ذئب امعط,تطلق علي الشاب النشيط الشجاع المنجز لما يوكل له,Western,"المهمة: اختر الجملة التي تستخدم فيها الكلمة بشكل صحيح.
السؤال: أي من الجمل التالية تعبر عن استخدام صحيح لكلمة 'ذئب امعط'؟
الخيارات:
أ) أحمد ذئب امعط في عمله.
ب) عادل ذئب امعط لأنه دائم النعاس.
ج) سارة تحب الذئب امعط لأنه خجول.
د) ليلى اعتبرت عبد الله ذئب امعط في رويته.",أ
الله يتزديلك بشويفك,دعاء طلباً للحفاظ على نعمة البصر وغالباً يقال لكبار السن مع ضعف حاسة البصر عندهم,Northern,"المهمة: اختر الجملة التي تُستخدم فيها عبارة 'الله يتزديلك بشويفك' بشكل صحيح.
السؤال: أي من الجمل التالية يمكن استخدام 'الله يتزديلك بشويفك' فيها؟
الخيارات:
أ) الله يوفقك في دراستك
ب) الله يحفظك يا جدي وقد أضعف بصره
ج) فريقك يحتاج لزيادة الدعم
د) علينا توخي الحذر عند القيادة",ب
أكد شعري,أمشط شعري,Western,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (أكد شعري) استخدامًا صحيحًا؟
الخيارات:
أ) أكد شعري قبل ما أطلع من البيت
ب) أكد شعري وقت النوم مباشرة
ج) أكد شعري في منتصف الاجتماع الرسمي
د) أكد شعري عند تناول الطعام",أ
العن سنسفيلك,اهزأك,Western,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (العن سنسفيلك) استخدامًا صحيحًا؟
الخيارات:
أ) قالها في خطاب رسمي أمام الحضور
ب) قالها لصديقه وهو يمزح معه
ج) كُتبت في رسالة رسمية
د) استُخدمت في نص علمي",ب
ابن كلب,صفة بمعنى رائع أو غير معتاد.,Central,"المهمة: اختر الجملة التي تستخدم فيها العبارة 'ابن كلب' بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم 'ابن كلب' بشكل صحيح؟
الخيارات:
أ) الجو اليوم جميل.
ب) شوف السيارة هاذي والله يا هي بنت كلب!
ج) أنا سافرت إلى البحر.
د) العيد جاي والأجواء رائعة.",ب
ابو راس,الشخص الي اكبر مافيه راسه,Central,"المهمة: حدد الجملة المناسبة للعبارة 'أبو راس'.
السؤال: أي الجمل التالية يمكن استخدامها في سياق 'أبو راس'؟
الخيارات:
أ) هذا الشاب لديه آراء قوية.
ب) أبو راس هو من أخذ القرار النهائي.
ج) يحب اللعب مع أصدقائه.
د) هو شخص متواضع.",ب
ابو كلب,تطلق على الشيئ الرديء او الشيء السيء,Central,"المهمة: اختر السياق المناسب لاستخدام عبارة 'ابو كلب'.
السؤال: في أي سياق يمكن استخدام عبارة 'ابو كلب'؟
الخيارات:
أ) عند الحديث عن سيارة جديدة
ب) عند وصف شيء قديم وغير جيد
ج) عند وصف شيء مفيد
د) عند مدح شيء",ب
اَبُوكِيه,تستخدم كرد استهزائي ازدرائي لمن لا يعجبك حديثه او لمن كان كلامه سفيهاً واحياناً لمن كان واثقاً زيادةً عن اللزوم,Central,"المهمة: اختر الجملة الصحيحة التي تحتوي على عبارة 'اَبُوكِيه'.
السؤال: أي من الجمل التالية يُظهر استخدام العبارة 'اَبُوكِيه' بشكل صحيح؟
الخيارات:
أ) إنني معجب بشجاعتك، أبُوكِيه.
ب) صديقي دائماً يتحدث عن إنجازاته، أبُوكِيه.
ج) أحب الذهاب إلى البحر، أبُوكِيه.
د) الأجواء في الرياض جميلة، أبُوكِيه.",ب
اخصرك منه,اخصرك منه بمعنى لا تعره اهتماام او لا تتوجه بالحديث اليه,Western,"المهمة: اختر الجملة التي تستخدم فيها العبارة بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على استخدام صحيح لعبارة 'اخصرك منه'؟
الخيارات:
أ) أنا اخصرك منه لانه صديقي.
ب) يا رجال اخصرك منه.
ج) اخصرك منه، وأكثر من الأصدقاء.
د) أمضيت يومي معك، اخصرك منه.",ب
ادقك جمع,اضربك بكوعي,Central,"المهمة: حدد الاستخدام السياقي للعبارة.
السؤال: في أي موقف يُستخدم المصطلح 'ادقك جمع' عادةً؟
الخيارات:
أ) في مناسبة احتفالية
ب) في حديث غير جدّي
ج) عند الشجار
د) في الدروس التعليمية",ج
ارفع علومك,بمعنى استرجل او اجمد كذا,General,"المهمة: اختر السياق الصحيح لاستخدام عبارة 'ارفع علومك'.
السؤال: في أي موقف يمكن أن يستخدم شخص ما عبارة 'ارفع علومك'؟
الخيارات:
أ) عند تشجيع صديق على الدراسة
ب) عند الحديث عن الطعام
ج) أثناء مشاهدة مباراة كرة القدم
د) عند اختيار فستان",أ
احتزم بي,احتزم بي ، مِحْزمِي. يقصد به الحزام الذي يعلّق به الرصاص والفرد والجنبية واحيانًا السيف ويقصد بها اعتمد علي واعتبرني احد اسلحتك ، تستخدم للتعبير عن شدة التعاضد والاخوة والجاهزية لخوض الحروب لاجلك .,General,"### نوع السؤال: الاستخدام السياقي
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: أي من العبارات التالية يمكن أن تُستخدم بشكل صحيح مع ""احتزم بي""؟ 
الخيارات: 
A) ""أنا احتزم بي وأؤمن بك في كل معركة."" 
B) ""احتزم بي، لنذهب للتسوق."" 
C) ""احتزم بي، لنخفف الوزن."" 
D) ""احتزم بي، سأتأخر على العمل.""",A
ابو فَرْوَة,ثمار شجرة الكستناء، تشوى ويأكل لبها. سميت أبو فروة بسبب الملمس النسيجبي الداخلي لقشرة الثمرة.,Central,"المهمة: اختر الاستخدام الصحيح لكلمة 'ابو فَرْوَة' في السياق.
السؤال: أي من الجمل تستخدم كلمة 'ابو فَرْوَة' بشكل صحيح؟
الخيارات:
أ) في فصل الصيف، بقت الأجواء حارة.
ب) لا تذهب بدون تناول أبو فَرْوَة.
ج) أكل أبو فَرْوَة من أحلى عادات الشتاء.
د) الجو في الشتاء رائع.",ج
ازحف وراك,يعني اذلف هناك يعني ابتعد قليلاً لكي اجلس يعني يعطيه مساحه بجنبه شوي عشان يجلس الاخ اللي يقول له ازحف ترا ازحف مثل اذلف مثل ماكنت اذلف تكون ازحف,General,"المهمة: حدد الاستخدام المناسب لعبارة 'ازحف وراك'.
السؤال: في أي موقف يمكن استخدام عبارة 'ازحف وراك'؟
الخيارات:
أ) عند القتال
ب) عند تناول الطعام مع الأصدقاء
ج) عند الاعتراض في صف
د) عند التحدث مع الغرباء",ب
أمّا عاد,تستخدم للإنبهات أو التعجّب! أو إذا كان الكلام مشكوك به. يقال (أمّا عااد) لإظهار الشعور بالريبة.,General,"### نوع السؤال: الاستخدام السياقي 
المهمة: اختَر الإجابة الصحيحة. 
السؤال: أي من الجمل التالية تستخدم ""أمّا عاد"" بشكل صحيح؟ 
الخيارات: 
A) محمد: اليوم زرت المدينة. نورة: أمّا عااد! 
B) سارة: جلبت لك هدية. رامي: أمّا عااد! 
C) ليلى: سأذهب للسوق. أحمد: أمّا عااد! 
D) فاطمة: حضرت لك الطعام. حسن: أمّا عاد!",A
من انتوا ترجعون له,تعني ما مرجع ونسب قبيلتكم,General,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (من انتوا ترجعون له) استخدامًا صحيحًا؟
الخيارات:
أ) سألتهم: مننتو ترجعون له لمعرفة أصلهم
ب) كُتبت العبارة في تقرير علمي
ج) استُخدمت العبارة في إعلان تجاري
د) قيلت العبارة عند شكر شخص على مساعدته",أ
اش بك يواد,ماذا بك ايها الفتى,Western,"المهمة: اختر السياق الأنسب لاستخدام العبارة 'اش بك يواد'.
السؤال: في أي موقف قد تستخدم عبارة 'اش بك يواد'؟
الخيارات:
أ) عندما تسأل عن حالة صديقك
ب) عندما تسأل عن الاتجاهات
ج) عندما تحاول شراء شيء
د) عندما تتحدث عن الطقس",أ
اش قومك,معناها باختصار وش فيك,General,"المهمة: اختر الاستخدام الصحيح للعبارة 'اش قومك' في السياق.
السؤال: أي من الجمل التالية يستخدم فيها 'اش قومك' بشكل صحيح؟
الخيارات:
أ) اش قومك تفكر في الذهاب للرحلة؟
ب) اش قومك تدق عليه؟
ج) اش قومك جائع؟
د) اش قومك يتحدث؟",ب
أتوطى ببطنك,الوطا: اي وضع القدم على شي فلما يقولون يتوطى ببطنك : اي اضع رجلي في بطنك وهي اشاره الى الحقد والطقاق والتهيؤ إلى العنف,Western,"المهمة: اختر الاستخدام المناسب للعبارة في السياق.
السؤال: في أي موقف يُحتمل أن تُستخدم عبارة 'أتوطى ببطنك'؟
الخيارات:
أ) في حفل زفاف
ب) في حالة شجار
ج) عند تقديم هدية
د) في اجتماع عمل",ب
اشبك البلا فشكلك,ماذا بك اصابك البلاء,Western,"المهمة: اختر السياق المناسب لاستخدام التعبير.
السؤال: في أي حالة يُستخدم التعبير 'اشبك البلا فشكلك'؟
الخيارات:
أ) في محادثة عادية مع الأصدقاء
ب) أثناء مناقشة علمية
ج) أثناء العمل
د) في الشارع أثناء القيادة",أ
راس البلا,راس البلا : يعني هو أساس المشكلة والمصيبة والسبب فيها .,General,"المهمة: اختر الجملة التي تستخدم عبارة 'راس البلا' بشكل صحيح.
السؤال: أي من الجمل التالية تعبر عن استخدام العبارة 'راس البلا' بشكل صحيح؟
الخيارات:
أ) هو راس البلا في تلك المشكلة.
ب) هذا الطعام لذيذ جداً.
ج) السيارة جديدة.
د) الجو اليوم مشمس.",أ
اشبمك يواد,ماذا بك ايها الفتي,Western,"المهمة: اختر السياق المناسب لاستخدام العبارة 'اشبمك يواد'.
السؤال: في أي موقف يمكن أن تستخدم عبارة 'اشبمك يواد'؟
الخيارات:
أ) عند تحية شخص
ب) عند استفسار عن حال شخص
ج) عند طلب معلومات
د) عند التعرف على شخص",ب
اصطبو دمك,الدعاء بأن الجن يسكبون دمك,Central,"المهمة: اختر الجملة الصحيحة التي تحتوي على العبارة.
السؤال: أي من الجمل التالية تستخدم عبارة 'اصطبو دمك' بشكل صحيح؟
الخيارات:
أ) اذهب واصطبو دمك مع صحباتك.
ب) يامفرح صب لي مويه معيض: اصطبو دمك قم انت صب مويه.
ج) نحن بحاجة إلى اصطبو دمك لأكل المعجنات.
د) اصطبو دمك تساعد في العزف على العود.",ب
اطبع الباب,أغلق الباب بالمفتاح، يقولها أهل ينبع البلد ينبع البحر,Western,"المهمة: اختر الجملة التي تستخدم العبارة بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على استخدام صحيح لعبارة 'اطبع الباب'؟
الخيارات:
أ) عندما تكون في النقل، اطبع الباب من فضلك.
ب) في الشتاء، اطبع الباب قبل الخروج.
ج) إذا كنت خائفًا من الضياع، اطبع الباب.
د) إذا كنت ترغب في الراحة، اطبع الباب.",ب
أبو كلبي,أبو كلبي يعني سيء,General,"المهمة: اختر الجملة التي تعبر عن استخدام الكلمة 'أبو كلبي' بشكل صحيح.
السؤال: أي الجمل التالية يستخدم فيها 'أبو كلبي' بشكل صحيح؟
الخيارات:
أ) الجو اليوم أبو كلبي
ب) الفلم كان أبو كلبي
ج) أكلت من أبو كلبي
د) السيارة جديدة",ب
اطلع من مخي,هذا ليس الوقت المناسب لك.,General,"المهمة: اختر السياق الأنسب لاستخدام العبارة.
السؤال: في أي موقف قد تقول 'اطلع من مخي'؟
الخيارات:
أ) عندما تحب شخصاً.
ب) عندما تكون مع أصدقائك في مكان عام.
ج) عندما تشعر بالانزعاج من أسئلة كثيرة.
د) عندما تتلقى خبر سار.",ج
صرف السالفة, لما تحاول تغيير الموضوع او مشيها,General,"المهمة: حدد الاستخدام السياقي الصحيح لجملة 'اعملك شاي'.
السؤال: في أي من هذه السياقات يمكنك استخدام عبارة 'اعملك شاي'؟
الخيارات:
أ) عندما أكون محتاراً
ب) عندما أريد تقديم المساعدة
ج) عندما أشعر بالحنق
د) عندما أفتح حواراً ودياً",ب
اقدح من راسك,لا تألف من راسك,General,"المهمة: اختر السياق الصحيح الذي يمكن استخدام عبارة 'اقدح من راسك' فيه.
السؤال: في أي موقف يُفضل استخدام عبارة 'اقدح من راسك'؟
الخيارات:
أ) أثناء اجتماع رسمي
ب) في جلسة عائلية
ج) في درس مدرسي
د) في مناقشة عميقة",ب
كبر براطمها,تعني ان شفايفها كبيرة جدا.,General,"المهمة: اختر الجملة المناسبة التي تستخدم فيها العبارة بشكل صحيح.
السؤال: في أي موقف من المناسب أن تقول ""كبر براطمها""؟
الخيارات:
أ) عند وصف شخص بشفايف كبيرة بطريقة ساخرة
ب) عند تهنئة شخص بنجاحه
ج) عند التحدث عن كرم شخص
د) عند مدح اللبس الجميل",أ
اقطع و اخس,"هذه العبارة ترادف تماماً كلمة ""اصمت!""",General,"المهمة: اختر السياق المناسب الذي قد تستخدم فيه عبارة 'اقطع و اخس'.
السؤال: في أي موقف يمكن استخدام العبارة 'اقطع و اخس'؟
الخيارات:
أ) أثناء العزف على آلة موسيقية
ب) أثناء لعب الألعاب الإلكترونية
ج) في محاضرة تعليمية
د) في حفل زفاف",ب
ياخي قروشتني,"يعني ياخي ازعجتني , وترتني ",Western,"المهمة: اختر الجملة التي تحتوي على استخدام صحيح.
السؤال: في أي موقف من المناسب أن تقول ""ياخي قروشتني""؟
الخيارات:
أ) عندما يكرر شخص نفس الكلام بشكل مزعج
ب) عندما يقدم لك هدية
ج) عندما تتحدث مع مديرك
د) عند سماع خبر جميل",أ
